onset	duration	gain	loss	RT	participant_response
4.049	4	20	10	1.032	strongly_accept
11.432	4	13	7	1.031	strongly_accept
17.133	4	15	13	1.132	weakly_accept
23.734	4	18	15	1.236	strongly_accept
33.028	4	18	17	1.134	weakly_accept
39.931	4	7	8	2.057	weakly_reject
46.628	4	15	16	2.577	weakly_reject
54.628	4	11	18	1.442	weakly_reject
63.528	4	19	19	1.649	weakly_accept
69.628	4	8	16	1.236	strongly_reject
74.828	4	6	11	0.926	strongly_reject
80.328	4	5	15	1.03	strongly_reject
87.829	4	7	14	1.134	strongly_reject
96.933	4	19	7	0.925	strongly_accept
105.832	4	18	11	1.134	strongly_accept
111.533	4	18	9	1.03	strongly_accept
119.335	4	18	19	1.545	weakly_accept
125.436	4	6	18	1.237	strongly_reject
134.429	4	8	12	0.927	strongly_reject
142.029	4	10	6	1.856	weakly_reject
149.43	4	16	11	1.238	strongly_accept
158.33	4	7	10	1.546	strongly_reject
163.934	4	19	20	1.75	weakly_accept
173.53	4	10	17	1.958	strongly_reject
179.53	4	7	20	1.132	strongly_reject
189.43	4	18	10	1.442	strongly_accept
195.934	4	17	5	0.927	strongly_accept
203.333	4	13	18	2.472	weakly_reject
208.834	4	16	15	1.854	weakly_accept
213.936	4	20	5	0.928	strongly_accept
221.536	4	6	16	1.339	strongly_reject
227.73	4	16	12	1.442	strongly_accept
234.631	4	14	8	1.029	strongly_accept
242.531	4	15	17	2.06	weakly_reject
249.131	4	15	8	1.442	strongly_accept
254.931	4	17	14	1.957	weakly_accept
260.031	4	6	6	1.236	weakly_accept
265.831	4	12	14	1.65	weakly_reject
271.031	4	16	20	2.061	weakly_accept
279.131	4	12	18	1.751	weakly_reject
285.231	4	18	14	3.299	strongly_accept
290.832	4	16	8	1.134	strongly_accept
300.133	4	10	16	3.091	strongly_reject
309.235	4	9	10	2.266	weakly_reject
315.436	4	8	19	2.782	strongly_reject
321.132	4	10	20	1.443	strongly_reject
330.832	4	17	6	1.134	strongly_accept
336.232	4	15	12	1.339	weakly_accept
344.632	4	7	6	1.855	weakly_reject
350.532	4	8	6	1.03	weakly_reject
358.233	4	15	19	1.855	weakly_reject
363.833	4	11	7	1.648	weakly_accept
369.033	4	10	15	1.443	weakly_reject
376.033	4	12	7	0	NoResp
383.833	4	7	19	1.339	strongly_reject
390.033	4	11	8	1.648	weakly_accept
395.533	4	14	16	2.164	weakly_accept
400.534	4	9	13	1.649	weakly_reject
409.336	4	16	9	1.031	strongly_accept
417.533	4	11	10	1.339	weakly_accept
422.934	4	10	10	1.133	weakly_accept
430.534	4	20	14	1.03	strongly_accept
435.534	4	5	9	1.545	strongly_reject
441.034	4	10	11	2.162	weakly_reject
