onset	duration	gain	loss	RT	participant_response
4.027	4	18	19	1.565	weakly_reject
10.227	4	7	20	0.934	strongly_reject
18.627	4	10	17	1.044	strongly_reject
26.628	4	18	11	0.938	strongly_accept
32.429	4	16	15	1.044	weakly_accept
38.13	4	9	13	1.148	strongly_reject
45.131	4	17	6	0.939	strongly_accept
53.032	4	7	19	0.939	strongly_reject
60.433	4	18	10	0.937	strongly_accept
69.335	4	10	10	1.042	weakly_accept
76.828	4	11	7	1.045	strongly_accept
81.828	4	18	14	1.146	strongly_accept
88.528	4	8	16	1.043	strongly_reject
97.628	4	6	11	0.938	strongly_reject
103.828	4	16	8	0.937	strongly_accept
112.728	4	12	14	1.458	weakly_reject
122.028	4	12	7	0.938	strongly_accept
127.529	4	16	9	1.041	strongly_accept
136.53	4	13	7	0.94	strongly_accept
144.332	4	8	12	1.253	strongly_reject
154.233	4	11	8	0.833	strongly_accept
159.935	4	18	15	0.835	strongly_accept
167.529	4	6	6	1.249	weakly_accept
174.429	4	8	6	0.94	weakly_accept
183.329	4	15	17	1.248	weakly_reject
193.029	4	14	8	0.939	strongly_accept
198.43	4	5	9	1.355	weakly_reject
204.03	4	10	15	1.148	strongly_reject
209.43	4	9	10	1.461	weakly_reject
217.03	4	20	10	1.044	strongly_accept
222.53	4	15	13	1.147	strongly_accept
228.73	4	19	19	1.044	weakly_accept
236.831	4	10	11	1.043	weakly_reject
244.233	4	18	17	1.041	weakly_accept
250.834	4	11	18	1.148	strongly_reject
255.935	4	15	8	0.94	strongly_accept
264.73	4	8	19	1.043	strongly_reject
269.931	4	13	18	1.146	strongly_reject
278.131	4	7	6	1.459	weakly_accept
284.031	4	7	14	1.044	strongly_reject
289.631	4	20	5	0.834	strongly_accept
298.731	4	15	19	1.461	strongly_reject
303.931	4	10	20	0.938	strongly_reject
311.631	4	18	9	0.835	strongly_accept
316.831	4	17	5	0.939	strongly_accept
322.931	4	16	12	1.147	weakly_accept
329.532	4	11	10	1.358	weakly_accept
335.332	4	19	7	0.834	strongly_accept
340.333	4	16	11	1.044	strongly_accept
345.434	4	7	10	1.148	strongly_reject
354.735	4	14	16	1.355	weakly_reject
360.232	4	19	20	1.149	weakly_reject
367.832	4	6	16	0.834	strongly_reject
377.432	4	10	16	1.042	strongly_reject
383.532	4	10	6	0.939	strongly_accept
389.632	4	15	12	1.25	strongly_accept
395.333	4	12	18	1.356	strongly_reject
402.233	4	16	20	0.939	strongly_reject
407.833	4	6	18	1.253	strongly_reject
413.333	4	15	16	1.043	weakly_reject
419.333	4	7	8	1.253	weakly_reject
425.833	4	5	15	0.94	strongly_reject
433.633	4	20	14	1.044	strongly_accept
441.034	4	17	14	1.252	weakly_accept
