onset	duration	gain	loss	RT	participant_response
4.049	4	14	17	1.959	weakly_reject
9.632	4	40	13	2.059	weakly_accept
18.534	4	14	5	1.236	strongly_accept
24.635	4	10	14	1.443	strongly_reject
29.836	4	38	10	1.649	strongly_accept
38.025	4	34	18	1.752	weakly_accept
43.525	4	34	10	2.577	strongly_accept
48.625	4	22	15	2.577	weakly_reject
57.025	4	40	14	1.647	strongly_accept
62.025	4	40	6	1.133	strongly_accept
67.626	4	24	8	2.164	weakly_accept
75.427	4	22	14	2.78	weakly_accept
82.928	4	18	9	2.675	weakly_reject
89.83	4	36	17	1.854	weakly_accept
95.531	4	32	9	1.133	strongly_accept
101.732	4	36	6	1.134	strongly_accept
107.233	4	32	18	1.855	weakly_reject
113.334	4	28	19	2.161	strongly_reject
118.335	4	12	5	2.163	weakly_accept
124.136	4	22	12	2.781	weakly_accept
132.126	4	10	5	1.956	weakly_reject
138.027	4	36	13	2.369	strongly_accept
143.826	4	38	11	1.648	strongly_accept
149.227	4	10	8	2.061	strongly_reject
157.027	4	32	16	1.545	weakly_accept
166.927	4	24	12	1.443	weakly_accept
174.328	4	32	6	1.648	strongly_accept
181.029	4	32	19	3.604	weakly_reject
190.731	4	14	19	1.954	strongly_reject
199.732	4	20	12	2.267	weakly_reject
206.333	4	32	17	2.472	weakly_accept
215.635	4	26	8	2.368	strongly_accept
223.228	4	30	13	2.988	strongly_accept
232.328	4	14	11	1.751	weakly_reject
241.228	4	28	14	2.369	weakly_accept
250.828	4	36	15	3.192	weakly_accept
257.828	4	16	14	1.957	weakly_reject
266.628	4	14	20	1.752	strongly_reject
275.729	4	34	17	3.498	weakly_accept
281.23	4	26	10	1.441	strongly_accept
286.731	4	10	13	1.34	strongly_reject
292.332	4	20	19	1.751	strongly_reject
299.933	4	30	15	2.779	weakly_reject
306.434	4	10	9	1.647	strongly_reject
312.535	4	40	9	1.854	strongly_accept
317.729	4	12	12	2.886	weakly_accept
326.629	4	18	18	2.576	weakly_accept
332.629	4	16	19	1.545	strongly_reject
340.33	4	16	12	2.473	strongly_reject
345.529	4	24	19	2.367	weakly_accept
351.23	4	28	12	2.371	weakly_accept
357.43	4	30	5	1.441	strongly_accept
362.53	4	36	5	0	NoResp
370.63	4	22	17	1.544	weakly_reject
376.83	4	22	5	1.236	strongly_accept
384.432	4	12	16	1.445	weakly_reject
390.132	4	20	14	1.75	weakly_reject
397.034	4	18	16	2.162	weakly_reject
404.435	4	40	19	1.958	strongly_accept
412.331	4	38	5	2.061	strongly_accept
421.631	4	26	7	1.546	strongly_accept
429.031	4	22	6	1.441	weakly_accept
434.431	4	24	7	0	NoResp
441.031	4	28	11	1.237	weakly_accept
