onset	duration	gain	loss	RT	participant_response
4.046	4	34	12	0.938	strongly_accept
12.83	4	30	16	0.835	strongly_accept
20.431	4	30	12	0.73	strongly_accept
26.032	4	26	13	0.73	strongly_accept
31.633	4	18	10	0.938	weakly_accept
39.734	4	14	10	1.667	weakly_reject
44.825	4	38	18	0.938	strongly_accept
50.725	4	12	18	1.458	strongly_reject
60.425	4	22	16	1.976	weakly_accept
67.325	4	34	7	0.835	strongly_accept
73.526	4	20	16	1.46	weakly_reject
80.925	4	40	15	0.835	strongly_accept
87.926	4	38	13	0.834	strongly_accept
94.127	4	34	15	0.73	strongly_accept
99.628	4	16	11	1.353	weakly_accept
107.229	4	22	18	1.458	weakly_reject
113.031	4	12	15	1.563	strongly_reject
119.632	4	24	20	1.77	weakly_accept
124.833	4	26	11	3.751	weakly_accept
134.134	4	10	19	1.453	strongly_reject
142.126	4	30	20	1.874	weakly_accept
149.026	4	34	20	1.458	weakly_accept
154.527	4	32	7	0.938	strongly_accept
163.827	4	28	18	1.563	weakly_accept
168.927	4	18	11	1.875	weakly_accept
176.827	4	16	9	1.147	weakly_reject
182.227	4	26	18	1.668	weakly_accept
187.627	4	40	8	0.939	strongly_accept
194.128	4	24	6	0.937	strongly_accept
200.229	4	28	16	0.939	strongly_accept
208.431	4	12	6	1.769	weakly_accept
215.132	4	36	9	1.042	strongly_accept
222.933	4	40	5	0.834	strongly_accept
232.035	4	18	6	1.251	strongly_accept
239.528	4	32	11	1.458	strongly_accept
246.928	4	24	11	2.082	strongly_accept
251.928	4	26	5	0.728	strongly_accept
259.528	4	16	7	1.562	weakly_accept
265.228	4	14	18	2.084	strongly_reject
274.128	4	20	18	1.769	weakly_reject
283.129	4	40	10	1.041	strongly_accept
288.628	4	16	15	1.355	strongly_reject
297.53	4	10	16	1.044	strongly_reject
303.131	4	36	19	1.044	strongly_accept
312.732	4	28	7	0.939	strongly_accept
322.634	4	12	8	1.668	weakly_reject
328.335	4	30	11	1.979	weakly_accept
337.429	4	36	11	1.252	strongly_accept
342.629	4	32	15	1.771	weakly_accept
351.53	4	24	15	1.25	weakly_accept
357.63	4	18	17	2.083	weakly_reject
362.83	4	18	8	2.604	weakly_accept
370.23	4	12	14	1.249	weakly_reject
375.73	4	36	14	1.458	weakly_accept
382.33	4	20	11	1.565	weakly_accept
388.43	4	30	18	1.249	weakly_accept
394.63	4	16	8	1.355	weakly_accept
402.431	4	10	12	1.874	strongly_reject
408.232	4	16	20	1.457	strongly_reject
413.933	4	40	17	0.936	strongly_accept
421.635	4	20	6	0.834	strongly_accept
427.631	4	24	16	1.355	strongly_accept
432.631	4	40	7	1.458	strongly_accept
441.031	4	30	7	1.04	strongly_accept
