onset	duration	gain	loss	RT	participant_response
4.049	4	6	17	2.061	strongly_reject
13.131	4	11	15	2.055	strongly_reject
18.331	4	5	14	1.548	strongly_reject
23.831	4	7	15	1.449	strongly_reject
30.831	4	15	15	2.169	weakly_reject
37.431	4	12	16	1.647	weakly_reject
46.231	4	20	18	2.163	weakly_accept
54.231	4	12	11	1.339	weakly_accept
61.631	4	12	9	1.339	strongly_accept
69.832	4	15	9	1.238	strongly_accept
76.033	4	13	15	1.546	weakly_reject
83.535	4	15	11	1.545	weakly_accept
93.432	4	17	15	1.443	weakly_accept
99.632	4	20	9	1.237	strongly_accept
105.032	4	18	20	1.546	weakly_reject
113.932	4	7	5	1.648	weakly_accept
120.032	4	19	10	1.544	strongly_accept
125.633	4	17	8	1.441	strongly_accept
133.733	4	14	19	1.855	weakly_reject
142.633	4	17	16	1.545	weakly_accept
149.233	4	7	9	1.855	weakly_reject
154.933	4	6	20	1.339	strongly_reject
160.033	4	5	8	1.547	weakly_reject
169.733	4	18	5	1.647	strongly_accept
175.434	4	5	5	1.546	weakly_reject
180.935	4	14	18	1.75	strongly_reject
187.036	4	6	14	1.752	strongly_reject
192.134	4	9	14	1.957	strongly_reject
199.938	4	11	11	1.442	weakly_reject
205.434	4	12	8	1.646	weakly_accept
214.734	4	10	18	1.443	strongly_reject
220.534	4	11	12	1.337	weakly_reject
225.534	4	5	18	1.339	strongly_reject
233.934	4	16	16	1.957	weakly_reject
239.534	4	5	11	2.267	strongly_reject
245.534	4	14	7	2.266	strongly_accept
251.134	4	18	12	1.958	strongly_accept
256.634	4	19	18	2.473	weakly_accept
261.835	4	11	19	2.163	strongly_reject
268.335	4	16	14	1.546	weakly_accept
275.735	4	11	6	2.165	weakly_accept
283.337	4	11	5	1.957	strongly_accept
289.538	4	8	7	1.853	weakly_accept
294.735	4	7	11	2.061	strongly_reject
302.435	4	20	15	1.649	strongly_reject
310.235	4	13	5	1.236	strongly_accept
317.835	4	8	18	1.339	strongly_reject
323.536	4	11	20	1.34	strongly_reject
332.636	4	14	12	1.751	weakly_accept
337.636	4	10	7	1.958	weakly_accept
343.436	4	14	5	1.237	strongly_accept
353.036	4	14	9	1.957	weakly_accept
360.436	4	6	10	1.75	strongly_reject
369.336	4	18	13	2.781	weakly_reject
376.236	4	16	17	1.957	strongly_reject
382.921	4	17	20	1.337	strongly_reject
391.925	4	13	8	2.162	strongly_accept
399.523	4	19	9	1.545	strongly_accept
408.825	4	9	17	1.339	strongly_reject
414.726	4	8	13	1.751	strongly_reject
420.828	4	14	20	1.239	strongly_reject
428.729	4	10	13	2.164	strongly_reject
435.63	4	20	8	1.851	strongly_accept
441.031	4	18	7	1.134	strongly_accept
