onset	duration	gain	loss	RT	participant_response
4.042	4	10	6	1.043	strongly_reject
13.127	4	13	18	0.94	strongly_accept
18.328	4	11	18	1.148	strongly_accept
24.429	4	10	11	1.147	strongly_accept
32.13	4	17	6	1.043	strongly_reject
40.332	4	15	13	1.875	weakly_reject
49.433	4	9	10	1.669	strongly_accept
56.334	4	20	10	1.04	strongly_reject
64.325	4	17	5	0.938	strongly_reject
69.925	4	15	19	1.252	strongly_accept
75.825	4	20	5	1.356	strongly_reject
82.525	4	15	17	0.94	strongly_accept
91.525	4	12	7	1.043	strongly_reject
99.025	4	6	11	1.044	strongly_accept
105.927	4	14	8	1.461	strongly_reject
114.328	4	9	13	1.669	strongly_accept
120.529	4	19	19	1.669	weakly_accept
128.131	4	6	6	2.605	weakly_reject
134.331	4	18	15	2.185	strongly_reject
140.933	4	18	11	1.25	strongly_reject
150.634	4	7	8	1.773	strongly_accept
158.426	4	14	16	1.042	strongly_accept
167.326	4	11	7	2.189	strongly_reject
173.327	4	18	9	1.148	strongly_reject
179.127	4	16	12	1.768	strongly_reject
187.227	4	19	20	1.667	strongly_accept
192.827	4	7	6	1.774	weakly_reject
197.927	4	17	14	1.874	strongly_reject
203.427	4	18	10	1.042	strongly_reject
208.828	4	16	9	1.355	strongly_reject
218.43	4	11	8	1.773	strongly_reject
223.931	4	8	16	1.147	strongly_accept
229.632	4	15	12	2.398	strongly_reject
237.233	4	18	17	2.501	weakly_reject
246.134	4	10	10	1.666	weakly_accept
252.728	4	11	10	1.878	weakly_reject
262.028	4	8	12	1.355	strongly_accept
267.728	4	18	14	1.146	strongly_reject
275.328	4	10	17	1.249	strongly_accept
280.328	4	8	6	1.982	weakly_reject
288.128	4	7	10	1.564	strongly_accept
293.628	4	16	15	3.123	weakly_reject
298.628	4	8	19	0.939	strongly_accept
303.728	4	10	15	1.875	strongly_accept
309.329	4	12	14	1.148	strongly_accept
319.231	4	6	18	1.147	strongly_accept
328.132	4	20	14	1.457	strongly_reject
334.233	4	13	7	2.085	strongly_reject
340.434	4	7	19	1.148	strongly_accept
347.429	4	10	20	1.665	strongly_accept
353.529	4	19	7	1.252	strongly_reject
358.729	4	16	20	1.252	strongly_accept
363.929	4	10	16	1.353	strongly_accept
371.829	4	15	16	1.457	strongly_accept
378.33	4	16	11	1.459	strongly_reject
385.729	4	7	20	0.939	strongly_accept
391.23	4	16	8	1.146	strongly_reject
400.53	4	15	8	2.394	strongly_reject
407.93	4	18	19	1.147	strongly_accept
416.731	4	7	14	1.042	strongly_accept
422.532	4	5	9	0.938	strongly_accept
427.933	4	5	15	1.25	strongly_accept
435.334	4	12	18	1.043	strongly_accept
441.035	4	6	16	1.042	strongly_accept
