onset	duration	gain	loss	RT	participant_response
4.035	4	30	19	3.641	weakly_reject
13.334	4	36	20	2.812	strongly_reject
20.734	4	40	20	3.437	weakly_reject
26.335	4	18	7	1.46	weakly_accept
35.435	4	38	16	2.394	weakly_accept
42.135	4	40	11	1.562	strongly_accept
47.835	4	36	18	2.082	weakly_accept
54.035	4	16	10	2.914	weakly_reject
61.636	4	36	16	2.919	weakly_accept
69.737	4	30	9	1.251	strongly_accept
77.235	4	34	11	2.393	strongly_accept
84.235	4	26	19	2.707	strongly_reject
92.025	4	38	17	3.542	weakly_reject
98.026	4	32	10	2.395	strongly_accept
103.827	4	34	16	2.499	weakly_accept
108.827	4	18	5	2.498	weakly_accept
117.629	4	22	13	3.542	weakly_accept
125.831	4	22	9	1.354	weakly_accept
134.732	4	22	20	1.351	strongly_reject
140.233	4	34	6	1.355	strongly_accept
147.836	4	26	12	3.12	strongly_accept
157.72	4	18	13	3.644	weakly_reject
163.12	4	10	17	1.459	strongly_reject
170.022	4	12	13	2.587	strongly_reject
176.223	4	20	13	3.021	weakly_reject
181.924	4	22	7	2.289	weakly_accept
187.825	4	26	14	1.562	weakly_accept
193.026	4	14	7	1.77	weakly_accept
199.127	4	34	5	1.669	strongly_accept
207.128	4	16	18	3.017	strongly_reject
213.229	4	28	6	2.71	weakly_accept
220.931	4	24	5	2.81	weakly_accept
226.532	4	26	20	1.565	strongly_reject
233.133	4	12	20	1.356	strongly_reject
239.234	4	14	15	1.459	strongly_reject
248.321	4	26	15	3.331	weakly_accept
253.421	4	28	10	2.292	strongly_accept
260.021	4	32	8	2.293	strongly_accept
265.022	4	12	7	2.29	weakly_reject
270.523	4	26	6	3.33	strongly_accept
277.024	4	40	16	3.124	strongly_accept
283.925	4	28	13	1.876	weakly_accept
289.426	4	14	8	2.603	weakly_reject
298.328	4	18	19	1.667	strongly_reject
307.629	4	26	17	3.748	weakly_reject
316.531	4	20	17	0	NoResp
321.732	4	28	15	0	NoResp
331.433	4	14	12	1.667	strongly_reject
338.835	4	24	18	3.432	weakly_reject
344.022	4	10	6	1.563	weakly_reject
351.623	4	24	10	2.501	weakly_reject
360.623	4	30	6	1.458	strongly_accept
366.423	4	38	8	1.04	strongly_accept
371.524	4	38	12	3.329	strongly_accept
377.025	4	14	13	1.564	strongly_reject
386.626	4	12	17	1.562	strongly_reject
394.528	4	10	11	1.564	strongly_reject
399.929	4	18	15	3.436	strongly_reject
405.53	4	20	10	1.771	weakly_reject
411.231	4	12	11	0	NoResp
418.632	4	18	12	2.501	strongly_reject
426.433	4	38	7	1.148	strongly_accept
432.634	4	14	16	1.874	strongly_reject
441.036	4	34	9	1.252	strongly_accept
