onset	duration	gain	loss	RT	participant_response
4.045	4	20	8	1.031	strongly_reject
9.727	4	11	12	1.03	strongly_reject
15.627	4	11	19	0.825	strongly_reject
22.528	4	15	11	1.031	strongly_reject
31.53	4	14	19	1.03	strongly_reject
40.632	4	17	8	1.442	strongly_accept
46.733	4	19	18	0.927	strongly_reject
51.933	4	7	9	0.927	strongly_reject
57.435	4	6	17	0.926	strongly_reject
62.936	4	12	16	0.825	strongly_reject
70.928	4	15	9	1.134	strongly_reject
80.228	4	11	20	1.03	strongly_reject
86.428	4	14	12	0.926	strongly_reject
91.428	4	6	20	0.824	strongly_reject
98.328	4	17	16	0.824	strongly_reject
104.529	4	17	15	0.721	strongly_reject
110.129	4	12	11	0.722	strongly_reject
115.729	4	7	11	0.927	strongly_reject
121.729	4	16	14	0.825	strongly_reject
126.93	4	5	8	0.618	strongly_reject
132.631	4	17	20	0.825	strongly_reject
141.533	4	7	15	0.619	strongly_reject
151.434	4	7	5	0.618	strongly_reject
156.835	4	9	17	0.721	strongly_reject
164.73	4	11	6	0.72	strongly_reject
172.33	4	11	15	0.722	strongly_reject
177.73	4	14	20	0.721	strongly_reject
182.83	4	6	10	0.722	strongly_reject
189.43	4	11	5	0.72	strongly_reject
195.23	4	18	7	1.03	strongly_accept
202.73	4	6	14	0.825	strongly_reject
211.53	4	9	14	0.928	strongly_reject
220.63	4	14	5	1.03	strongly_reject
228.031	4	14	18	0.925	strongly_reject
236.933	4	13	5	1.133	strongly_accept
242.634	4	11	11	0.928	strongly_reject
248.135	4	18	13	1.236	strongly_reject
255.136	4	20	9	1.03	strongly_accept
263.331	4	19	9	1.648	strongly_accept
270.731	4	18	5	1.031	strongly_accept
278.531	4	18	20	1.03	strongly_reject
287.431	4	18	12	1.029	strongly_reject
292.431	4	19	10	1.029	strongly_reject
300.031	4	5	11	0.824	strongly_reject
306.532	4	5	18	0.927	strongly_reject
314.932	4	5	14	0.722	strongly_reject
324.532	4	5	5	1.03	strongly_reject
330.632	4	14	7	1.134	strongly_reject
340.335	4	8	13	0.825	strongly_reject
349.636	4	20	18	1.237	strongly_reject
354.832	4	13	8	1.234	strongly_reject
361.533	4	14	9	1.236	strongly_reject
367.633	4	8	7	0.928	strongly_reject
375.032	4	10	13	0.823	strongly_reject
382.733	4	20	15	1.134	strongly_reject
390.833	4	12	9	0.927	strongly_reject
397.433	4	10	7	1.339	strongly_reject
405.233	4	13	15	0.825	strongly_reject
410.833	4	10	18	0.928	strongly_reject
416.633	4	16	16	0.824	strongly_reject
424.233	4	8	18	0.821	strongly_reject
429.733	4	15	15	0.823	strongly_reject
435.934	4	16	17	0.925	strongly_reject
441.035	4	12	8	0.72	strongly_reject
