onset	duration	gain	loss	RT	participant_response
4.041	4	28	5	1.133	strongly_accept
9.724	4	38	6	0.929	strongly_accept
17.926	4	40	18	2.162	weakly_accept
24.627	4	28	17	1.749	weakly_reject
29.628	4	16	16	1.853	strongly_reject
35.229	4	14	14	1.34	strongly_reject
44.13	4	20	9	1.646	weakly_accept
53.832	4	34	13	1.236	strongly_accept
59.633	4	16	17	2.266	strongly_reject
65.734	4	20	5	1.443	strongly_accept
70.937	4	34	8	1.131	strongly_accept
77.121	4	36	8	0.927	strongly_accept
84.922	4	26	9	1.029	strongly_accept
90.522	4	38	19	1.03	strongly_accept
98.623	4	24	9	2.061	strongly_accept
104.125	4	32	5	1.339	strongly_accept
110.325	4	22	8	1.132	strongly_accept
118.127	4	36	7	0.829	strongly_accept
125.828	4	18	14	2.474	weakly_accept
133.429	4	12	10	2.267	weakly_accept
140.831	4	30	17	1.341	strongly_accept
146.232	4	24	13	1.545	strongly_accept
155.533	4	16	13	2.264	weakly_accept
163.435	4	36	12	0.928	strongly_accept
173.022	4	20	8	1.546	strongly_accept
181.923	4	38	14	0.925	strongly_accept
189.523	4	38	15	0.823	strongly_accept
195.324	4	20	7	0.926	strongly_accept
204.425	4	22	10	0.927	strongly_accept
210.426	4	34	14	0.927	strongly_accept
216.327	4	30	10	1.134	strongly_accept
223.728	4	10	7	1.852	weakly_accept
229.43	4	12	19	1.855	strongly_reject
235.13	4	32	12	0.926	strongly_accept
244.232	4	32	13	0.927	strongly_accept
250.733	4	12	9	1.648	weakly_accept
256.934	4	24	14	1.133	strongly_accept
263.536	4	18	20	1.545	strongly_reject
269.624	4	10	10	2.569	weakly_reject
274.724	4	10	15	1.647	strongly_reject
283.724	4	14	9	2.06	weakly_accept
288.925	4	34	19	0.928	strongly_accept
294.324	4	38	20	2.263	strongly_accept
299.825	4	32	20	2.472	weakly_accept
305.326	4	16	6	1.545	strongly_accept
314.228	4	16	5	1.236	strongly_accept
321.229	4	20	20	1.339	strongly_reject
328.13	4	20	15	2.16	weakly_reject
334.231	4	26	16	2.681	weakly_accept
339.232	4	32	14	2.781	strongly_accept
344.733	4	38	9	0.927	strongly_accept
353.135	4	30	8	0.928	strongly_accept
360.725	4	28	9	1.03	strongly_accept
365.825	4	30	14	1.03	strongly_accept
371.025	4	28	20	2.371	strongly_reject
377.625	4	10	20	1.339	strongly_reject
385.025	4	22	11	1.749	strongly_accept
394.925	4	22	19	1.647	strongly_reject
404.227	4	40	12	1.03	strongly_accept
411.128	4	24	17	2.163	weakly_reject
418.63	4	14	6	1.958	strongly_accept
427.431	4	10	18	1.338	strongly_reject
433.032	4	28	8	1.03	strongly_accept
441.033	4	36	10	0.926	strongly_accept
