onset	duration	gain	loss	RT	participant_response
4.042	4	10	18	3.326	weakly_reject
13.726	4	16	13	0	NoResp
22.627	4	18	14	1.56	weakly_accept
30.429	4	34	8	1.249	strongly_accept
36.43	4	24	17	2.496	strongly_accept
42.631	4	10	15	1.768	weakly_reject
48.032	4	18	20	1.873	strongly_reject
54.133	4	12	10	1.974	weakly_reject
59.634	4	20	15	2.185	weakly_accept
64.735	4	36	8	1.351	strongly_accept
73.824	4	40	12	1.145	strongly_accept
81.323	4	10	10	1.665	weakly_reject
86.424	4	12	19	1.769	strongly_reject
94.323	4	38	14	1.664	strongly_accept
101.725	4	30	10	1.561	strongly_accept
107.325	4	10	7	1.873	weakly_reject
114.727	4	28	17	2.182	weakly_accept
120.828	4	36	10	1.247	strongly_accept
129.929	4	28	9	1.352	strongly_accept
137.531	4	22	19	2.082	weakly_reject
143.232	4	16	16	1.974	strongly_reject
151.333	4	14	14	1.559	strongly_reject
157.034	4	38	9	1.143	strongly_accept
163.535	4	32	20	1.561	weakly_accept
170.525	4	38	6	1.144	strongly_accept
175.525	4	14	9	2.392	weakly_reject
181.225	4	24	13	1.562	weakly_accept
191.125	4	20	8	1.353	strongly_accept
200.025	4	34	19	1.769	weakly_accept
206.929	4	34	13	1.455	strongly_accept
212.828	4	14	6	1.973	weakly_reject
218.328	4	32	14	2.079	strongly_accept
223.929	4	16	6	1.976	weakly_accept
230.53	4	28	20	1.974	weakly_reject
239.332	4	28	5	1.353	strongly_accept
245.133	4	24	9	1.766	strongly_accept
250.634	4	12	9	1.664	weakly_reject
259.036	4	40	18	1.768	weakly_accept
266.727	4	38	15	1.972	strongly_accept
274.926	4	20	5	1.247	strongly_accept
280.526	4	28	8	1.353	strongly_accept
288.126	4	22	10	2.186	strongly_accept
293.627	4	16	5	1.87	weakly_accept
302.527	4	30	8	1.354	strongly_accept
309.128	4	38	19	1.247	strongly_accept
314.328	4	36	7	1.038	strongly_accept
321.03	4	38	20	1.662	weakly_accept
329.031	4	30	14	2.286	strongly_accept
336.832	4	16	17	1.869	strongly_reject
346.135	4	20	20	1.457	strongly_reject
352.335	4	30	17	1.976	weakly_accept
358.128	4	22	11	2.705	weakly_reject
365.028	4	32	5	1.977	strongly_accept
371.128	4	20	9	1.978	strongly_accept
380.728	4	34	14	1.978	strongly_accept
390.028	4	24	14	2.912	strongly_accept
395.428	4	10	20	1.758	strongly_reject
401.628	4	36	12	1.977	strongly_accept
406.829	4	22	8	1.353	strongly_accept
414.429	4	26	9	1.249	strongly_accept
419.631	4	32	13	1.353	strongly_accept
428.632	4	26	16	1.352	weakly_accept
436.034	4	32	12	1.77	strongly_accept
441.034	4	20	7	1.142	strongly_accept
