onset	duration	gain	loss	RT	participant_response
4.025	4	34	11	1.459	strongly_accept
10.925	4	10	11	1.252	strongly_reject
16.426	4	26	6	1.146	strongly_accept
21.427	4	22	20	1.458	weakly_reject
31.129	4	38	12	1.148	strongly_accept
38.63	4	34	5	0.938	strongly_accept
44.531	4	20	10	1.565	weakly_accept
52.132	4	30	6	0.938	strongly_accept
60.334	4	32	8	1.044	strongly_accept
66.935	4	38	17	1.253	weakly_accept
73.625	4	40	16	1.564	weakly_accept
78.625	4	26	19	2.085	weakly_accept
84.126	4	24	5	1.564	strongly_accept
89.825	4	20	13	1.563	weakly_reject
95.325	4	34	16	1.876	weakly_accept
100.526	4	14	15	1.25	strongly_reject
105.626	4	18	15	1.46	weakly_reject
113.726	4	18	19	1.251	strongly_reject
121.327	4	30	9	1.148	strongly_accept
127.429	4	20	17	1.252	weakly_reject
134.83	4	22	9	1.564	weakly_accept
142.531	4	18	12	1.462	weakly_reject
152.433	4	28	10	1.77	weakly_accept
160.234	4	26	12	1.251	weakly_accept
165.826	4	24	10	2.084	weakly_accept
174.727	4	36	20	2.189	weakly_accept
180.427	4	38	8	1.251	strongly_accept
186.027	4	16	10	1.769	weakly_reject
193.027	4	36	16	2.19	strongly_accept
201.927	4	22	13	1.357	weakly_accept
210.727	4	30	19	1.771	weakly_accept
219.128	4	40	20	1.667	weakly_accept
225.229	4	26	14	2.19	weakly_accept
232.631	4	14	12	1.46	weakly_reject
238.831	4	26	20	1.356	weakly_reject
244.233	4	40	11	1.564	strongly_accept
253.134	4	32	10	1.878	strongly_accept
258.335	4	14	8	1.252	weakly_accept
266.228	4	18	7	1.252	weakly_accept
271.428	4	14	7	1.565	weakly_accept
276.528	4	12	13	1.147	strongly_reject
284.328	4	18	13	1.565	weakly_reject
291.729	4	38	7	1.042	strongly_accept
299.328	4	36	18	1.668	weakly_accept
307.329	4	26	15	1.877	weakly_reject
316.929	4	28	15	1.355	weakly_reject
322.93	4	18	5	1.146	weakly_accept
332.231	4	14	16	0.835	strongly_reject
341.533	4	12	7	1.459	weakly_reject
347.234	4	24	18	1.981	weakly_reject
354.135	4	16	18	1.044	strongly_reject
360.329	4	34	6	1.251	strongly_accept
366.83	4	14	13	1.358	weakly_reject
373.03	4	26	17	1.147	weakly_accept
378.63	4	12	11	1.148	weakly_reject
385.23	4	34	9	1.354	strongly_accept
391.33	4	28	6	2.918	weakly_accept
400.33	4	10	6	1.353	weakly_reject
406.13	4	22	7	1.669	weakly_accept
415.23	4	28	13	1.25	weakly_reject
421.031	4	38	16	1.252	weakly_reject
426.431	4	12	20	1.148	strongly_reject
431.932	4	12	17	0.73	strongly_reject
441.034	4	10	17	0.728	strongly_reject
