onset	duration	gain	loss	RT	participant_response
4.05	4	11	17	1.649	strongly_reject
12.933	4	13	16	1.646	weakly_accept
21.735	4	9	16	1.031	strongly_reject
29.131	4	13	14	1.443	weakly_accept
37.231	4	14	10	1.958	strongly_accept
42.731	4	14	11	1.441	strongly_accept
50.531	4	10	19	1.752	strongly_reject
56.532	4	20	12	1.236	strongly_accept
66.232	4	8	14	1.441	strongly_reject
71.332	4	9	12	2.675	weakly_accept
80.232	4	10	9	1.75	strongly_accept
85.832	4	12	10	2.472	strongly_accept
91.932	4	16	7	1.031	strongly_accept
98.132	4	19	16	2.265	weakly_accept
103.833	4	9	6	1.646	strongly_accept
110.434	4	19	17	2.985	weakly_accept
115.935	4	5	19	1.237	strongly_reject
122.033	4	16	13	1.237	strongly_accept
127.733	4	7	12	1.956	weakly_reject
136.833	4	7	16	1.544	strongly_reject
142.333	4	19	6	1.65	strongly_accept
150.533	4	19	12	1.442	strongly_accept
155.733	4	17	12	1.337	strongly_accept
161.233	4	8	11	1.442	strongly_reject
169.133	4	18	18	3.193	weakly_accept
178.433	4	15	7	1.134	strongly_accept
186.433	4	16	10	0.928	strongly_accept
191.433	4	9	19	1.235	strongly_reject
196.434	4	20	19	2.985	weakly_accept
204.134	4	11	16	1.441	strongly_reject
212.535	4	16	19	2.782	weakly_reject
220.137	4	6	9	2.779	weakly_reject
226.834	4	11	13	3.191	weakly_reject
234.634	4	6	13	2.371	strongly_reject
244.234	4	12	5	1.03	strongly_accept
251.134	4	18	16	2.575	weakly_accept
256.335	4	8	9	1.752	strongly_accept
262.535	4	17	19	3.399	weakly_accept
272.435	4	15	6	0.928	strongly_accept
278.335	4	19	8	0.927	strongly_accept
287.635	4	14	6	0.928	strongly_accept
293.035	4	5	17	1.339	strongly_reject
298.235	4	6	7	1.958	weakly_accept
304.835	4	12	20	1.442	strongly_reject
311.036	4	10	8	2.165	strongly_accept
318.637	4	12	6	0.926	strongly_accept
324.438	4	8	17	1.133	strongly_reject
331.436	4	8	5	1.443	strongly_accept
340.336	4	12	12	2.161	weakly_accept
347.937	4	14	15	2.575	weakly_accept
353.536	4	19	13	0.927	strongly_accept
362.536	4	16	18	2.369	weakly_reject
369.43	4	17	11	1.031	strongly_accept
375.231	4	6	15	1.029	strongly_reject
380.631	4	11	14	1.957	weakly_reject
389.733	4	6	8	2.061	weakly_accept
395.337	4	19	15	1.645	strongly_accept
401.037	4	18	8	1.14	strongly_accept
408.52	4	14	17	2.164	weakly_reject
415.921	4	5	7	2.78	weakly_accept
422.022	4	15	18	1.959	weakly_reject
428.523	4	13	11	2.472	weakly_accept
435.925	4	18	6	1.134	strongly_accept
441.025	4	5	20	1.235	strongly_reject
