onset	duration	gain	loss	RT	participant_response
4.052	4	11	11	1.75	strongly_accept
10.235	4	17	16	1.96	weakly_accept
19.936	4	18	12	1.75	strongly_accept
27.634	4	20	15	1.75	strongly_accept
33.334	4	17	8	1.545	strongly_accept
40.934	4	15	15	1.956	weakly_reject
50.234	4	6	17	1.543	strongly_reject
59.135	4	5	14	1.235	strongly_reject
66.635	4	19	18	2.162	weakly_accept
72.135	4	16	17	2.472	strongly_reject
77.235	4	12	9	1.545	weakly_accept
83.235	4	10	18	3.604	strongly_reject
91.035	4	10	13	1.545	weakly_reject
98.635	4	11	5	1.237	strongly_accept
105.535	4	7	15	1.237	strongly_reject
113.536	4	11	15	1.958	strongly_reject
122.538	4	18	5	1.339	strongly_accept
128.639	4	17	15	2.161	weakly_accept
135.636	4	20	18	2.885	weakly_accept
141.736	4	9	17	1.234	strongly_reject
147.325	4	14	7	1.958	strongly_accept
153.026	4	18	7	1.131	strongly_accept
160.636	4	5	5	2.06	weakly_accept
166.129	4	6	10	1.647	weakly_reject
174.33	4	14	5	1.749	strongly_accept
179.731	4	17	20	1.546	strongly_reject
185.532	4	19	10	1.236	strongly_accept
193.434	4	16	16	2.366	weakly_accept
202.237	4	11	6	1.34	strongly_accept
210.021	4	14	9	1.032	strongly_accept
216.521	4	13	8	1.134	strongly_accept
226.423	4	9	14	1.646	strongly_reject
231.624	4	14	18	1.958	strongly_reject
240.525	4	5	8	2.058	weakly_reject
249.627	4	12	8	1.544	strongly_accept
258.528	4	5	18	1.337	strongly_reject
263.929	4	7	9	2.266	weakly_reject
269.83	4	7	5	2.571	weakly_accept
278.232	4	6	14	2.162	strongly_reject
283.433	4	11	19	1.236	strongly_reject
289.634	4	16	14	2.057	weakly_reject
297.735	4	13	15	1.441	weakly_reject
302.838	4	11	20	2.369	weakly_reject
310.222	4	14	19	2.058	weakly_reject
319.522	4	20	8	1.236	strongly_accept
326.123	4	14	20	2.163	weakly_reject
332.225	4	12	11	1.749	strongly_accept
337.826	4	18	13	1.648	strongly_accept
347.427	4	8	18	1.236	strongly_reject
354.829	4	8	13	1.033	strongly_reject
360.329	4	15	11	1.854	weakly_accept
366.531	4	10	7	1.645	weakly_accept
371.531	4	5	11	1.338	strongly_reject
376.732	4	12	16	1.752	weakly_reject
383.333	4	7	11	1.44	weakly_reject
389.134	4	6	20	1.337	strongly_reject
395.836	4	18	20	1.956	weakly_reject
401.523	4	20	9	0.928	strongly_accept
407.023	4	8	7	2.057	strongly_accept
412.623	4	19	9	0.824	strongly_accept
421.723	4	13	5	0.824	strongly_accept
428.625	4	15	9	0.927	strongly_accept
433.626	4	14	12	2.782	weakly_accept
441.027	4	11	12	2.058	weakly_reject
