onset	duration	gain	loss	RT	participant_response
4.037	4	15	6	1.957	strongly_accept
10.933	4	8	5	1.236	weakly_accept
16.432	4	18	18	1.544	weakly_accept
21.833	4	19	8	1.031	strongly_accept
27.533	4	6	7	1.856	weakly_reject
34.433	4	17	11	1.133	weakly_accept
43.533	4	17	12	1.545	weakly_accept
51.933	4	16	7	1.341	strongly_accept
60.833	4	5	17	1.545	strongly_reject
70.133	4	10	19	1.751	weakly_reject
80.033	4	13	16	1.237	weakly_reject
85.834	4	6	13	1.237	strongly_reject
90.834	4	5	19	1.649	strongly_reject
98.535	4	8	14	1.854	strongly_reject
103.636	4	10	8	1.956	weakly_reject
109.234	4	6	9	1.957	weakly_reject
116.834	4	18	6	1.34	strongly_accept
122.334	4	8	11	2.059	weakly_reject
131.134	4	12	6	2.677	weakly_accept
139.234	4	5	7	1.236	weakly_reject
146.734	4	16	18	1.134	weakly_reject
155.835	4	18	16	1.442	weakly_accept
162.535	4	11	17	1.339	weakly_reject
168.435	4	11	14	1.546	weakly_reject
177.735	4	9	6	2.267	weakly_accept
185.135	4	19	12	1.648	weakly_accept
190.735	4	15	7	1.544	strongly_accept
196.836	4	19	17	1.133	weakly_accept
205.838	4	14	11	1.03	weakly_accept
213.435	4	16	13	1.338	weakly_accept
218.835	4	6	8	2.782	weakly_reject
228.436	4	13	11	1.339	weakly_accept
233.536	4	11	16	2.368	weakly_reject
239.236	4	7	16	1.444	strongly_reject
244.436	4	12	20	2.161	strongly_reject
249.436	4	7	12	2.164	strongly_reject
255.23	4	14	10	1.439	weakly_accept
263.431	4	19	16	2.473	weakly_accept
268.632	4	9	12	2.061	weakly_reject
273.833	4	19	13	1.648	weakly_accept
280.036	4	19	6	1.441	strongly_accept
287.037	4	5	20	1.442	strongly_reject
294.82	4	12	12	1.236	weakly_accept
302.221	4	15	18	1.853	weakly_reject
307.822	4	17	19	1.34	weakly_reject
316.724	4	11	13	1.031	weakly_reject
324.125	4	12	5	2.263	strongly_accept
333.027	4	14	15	1.855	weakly_reject
339.128	4	14	17	2.163	weakly_reject
347.029	4	12	10	2.267	weakly_accept
353.13	4	19	15	1.34	weakly_accept
359.131	4	13	14	1.854	weakly_reject
365.732	4	18	8	1.134	strongly_accept
371.934	4	16	19	1.134	weakly_reject
379.535	4	10	9	1.03	weakly_accept
389.222	4	8	9	1.855	weakly_reject
394.721	4	9	19	2.059	strongly_reject
400.222	4	14	6	2.162	weakly_accept
408.223	4	20	19	1.551	weakly_accept
414.824	4	9	16	2.577	strongly_reject
420.525	4	6	15	2.884	strongly_reject
427.026	4	8	17	1.751	strongly_reject
433.227	4	20	12	1.957	strongly_accept
441.029	4	16	10	1.958	weakly_accept
