onset	duration	gain	loss	RT	participant_response
4.04	4	14	14	2.601	weakly_reject
9.023	4	38	14	2.185	strongly_accept
14.624	4	10	18	3.33	strongly_reject
20.124	4	16	5	1.251	strongly_accept
25.526	4	40	12	1.247	strongly_accept
31.227	4	40	18	1.357	strongly_accept
37.028	4	24	9	0.836	strongly_accept
46.129	4	30	14	1.252	strongly_accept
51.23	4	10	15	1.563	strongly_accept
58.131	4	28	5	1.251	strongly_accept
67.433	4	18	20	2.809	weakly_reject
77.135	4	24	14	2.083	strongly_accept
82.924	4	12	9	2.501	strongly_accept
90.524	4	36	7	1.666	strongly_accept
97.925	4	38	19	1.148	strongly_accept
104.525	4	20	15	1.773	weakly_accept
110.725	4	32	12	1.356	strongly_accept
117.625	4	30	17	1.252	strongly_accept
126.027	4	14	9	1.667	strongly_accept
133.528	4	38	9	0.936	strongly_accept
138.629	4	32	5	0.835	strongly_accept
147.43	4	10	10	2.706	weakly_reject
153.531	4	12	10	1.773	weakly_accept
163.433	4	28	17	1.564	strongly_accept
171.635	4	34	8	0.835	strongly_accept
177.226	4	28	9	0.939	strongly_accept
183.926	4	20	9	1.146	strongly_accept
191.926	4	38	6	0.938	strongly_accept
197.326	4	32	20	1.563	weakly_accept
205.126	4	38	15	1.564	strongly_accept
213.226	4	28	20	1.771	weakly_accept
219.326	4	16	13	3.123	weakly_accept
225.927	4	34	14	1.354	strongly_accept
235.029	4	20	7	0.937	strongly_accept
240.93	4	18	14	1.875	weakly_accept
247.931	4	24	13	2.812	strongly_accept
252.932	4	34	13	1.146	strongly_accept
258.933	4	36	10	1.356	strongly_accept
267.935	4	32	13	1.354	strongly_accept
274.427	4	26	16	2.085	strongly_accept
283.327	4	30	8	0.937	strongly_accept
291.227	4	24	17	1.356	strongly_accept
298.628	4	34	19	1.982	strongly_accept
308.228	4	16	16	1.981	strongly_reject
315.828	4	38	20	1.873	weakly_accept
323.428	4	22	8	1.459	strongly_accept
328.629	4	22	19	1.668	weakly_accept
334.73	4	10	7	1.877	weakly_accept
342.131	4	22	10	1.77	strongly_accept
347.835	4	10	20	2.498	strongly_reject
353.033	4	28	8	1.252	strongly_accept
359.234	4	16	17	2.812	weakly_reject
364.435	4	26	9	1.565	strongly_accept
369.929	4	30	10	1.769	strongly_accept
375.529	4	36	8	1.041	strongly_accept
381.029	4	36	12	1.665	strongly_accept
389.929	4	14	6	1.669	strongly_accept
396.129	4	20	8	0.834	strongly_accept
401.829	4	16	6	1.043	strongly_accept
411.129	4	12	19	2.497	strongly_reject
420.029	4	32	14	1.355	strongly_accept
427.83	4	20	20	1.98	strongly_reject
433.331	4	20	5	1.356	strongly_accept
441.032	4	22	11	1.25	strongly_accept
