onset	duration	gain	loss	RT	participant_response
4.039	4	12	12	1.355	strongly_reject
12.227	4	14	17	1.043	strongly_reject
17.227	4	19	12	1.666	weakly_accept
25.327	4	19	17	1.773	weakly_reject
34.228	4	12	5	1.771	strongly_accept
42.629	4	12	10	1.355	weakly_reject
47.83	4	11	13	2.293	strongly_reject
55.431	4	9	16	1.456	strongly_reject
64.533	4	8	14	0.834	strongly_reject
71.934	4	10	19	0.833	strongly_reject
81.228	4	16	10	1.459	weakly_accept
86.728	4	9	12	1.25	strongly_reject
94.629	4	13	16	1.043	strongly_reject
102.228	4	17	11	1.147	strongly_accept
111.929	4	17	19	1.042	strongly_reject
117.629	4	18	18	1.249	strongly_reject
125.129	4	13	11	1.876	weakly_reject
131.329	4	18	6	1.148	strongly_accept
138.229	4	14	11	1.666	weakly_accept
147.031	4	8	17	1.042	strongly_reject
152.231	4	12	6	1.041	strongly_accept
161.133	4	10	8	1.77	strongly_reject
166.834	4	18	16	1.873	strongly_reject
172.235	4	8	9	1.668	strongly_reject
178.33	4	12	20	1.355	strongly_reject
185.73	4	13	14	0.833	strongly_reject
191.33	4	18	8	1.042	strongly_accept
197.83	4	20	12	0.938	strongly_accept
205.63	4	5	17	0.937	strongly_reject
214.73	4	5	19	1.043	strongly_reject
220.33	4	19	8	1.46	strongly_accept
225.43	4	8	11	1.146	strongly_reject
231.13	4	20	19	1.981	weakly_reject
240.03	4	19	13	1.457	strongly_accept
247.732	4	7	12	1.145	strongly_reject
254.633	4	5	7	1.458	strongly_reject
260.134	4	9	6	1.246	weakly_accept
266.335	4	6	8	1.249	strongly_reject
271.431	4	6	7	0.835	strongly_reject
278.431	4	5	20	0.938	strongly_reject
285.131	4	14	15	1.043	strongly_reject
294.131	4	16	19	1.252	strongly_reject
300.731	4	15	7	0.937	strongly_accept
308.131	4	9	19	0.938	strongly_reject
313.632	4	19	6	1.355	strongly_accept
319.132	4	10	9	1.667	weakly_reject
327.132	4	8	5	1.147	weakly_accept
332.532	4	19	16	1.25	weakly_accept
338.632	4	15	18	1.355	strongly_reject
344.432	4	7	16	1.355	strongly_reject
349.433	4	11	14	1.042	strongly_reject
355.034	4	11	17	0.834	strongly_reject
360.935	4	6	13	0.832	strongly_reject
366.732	4	14	6	1.147	strongly_accept
374.333	4	6	15	1.147	strongly_reject
380.332	4	16	18	1.245	strongly_reject
386.433	4	16	7	1.043	strongly_accept
396.333	4	14	10	1.251	weakly_accept
402.933	4	6	9	1.25	strongly_reject
409.133	4	19	15	1.146	weakly_accept
418.733	4	17	12	1.564	strongly_accept
426.533	4	15	6	1.146	strongly_accept
435.833	4	11	16	1.251	strongly_reject
441.034	4	16	13	2.293	weakly_accept
