onset	duration	gain	loss	RT
4.053	4	13	12	2.058
9.635	4	15	14	1.547
17.736	4	8	10	1.442
25.536	4	13	13	3.09
32.036	4	17	13	2.575
39.736	4	14	13	2.472
46.736	4	6	19	1.443
53.621	4	17	18	2.369
59.821	4	20	13	2.883
65.622	4	20	16	2.369
72.524	4	15	20	3.398
77.625	4	13	17	2.471
82.826	4	14	14	1.648
88.027	4	20	17	2.06
93.127	4	5	6	2.161
102.729	4	9	9	2.782
111.831	4	9	18	2.678
119.232	4	10	5	3.609
126.733	4	17	10	1.957
132.134	4	19	5	1.649
137.337	4	6	12	3.605
143.021	4	10	12	2.883
150.621	4	8	15	2.886
158.522	4	20	6	1.752
166.723	4	7	17	1.546
172.925	4	13	19	3.191
180.526	4	12	13	1.647
189.428	4	12	19	3.091
198.329	4	16	5	2.163
204.93	4	20	7	1.14
209.931	4	11	9	1.855
216.633	4	5	10	3.089
222.733	4	7	13	3.913
232.035	4	19	14	3.398
237.636	4	17	9	1.854
246.722	4	19	11	1.854
256.423	4	5	13	1.752
262.524	4	16	6	1.546
269.927	4	13	10	2.471
278.926	4	13	9	3.604
284.528	4	9	5	1.648
291.931	4	9	8	3.191
297.33	4	9	7	1.957
306.631	4	17	7	1.544
312.633	4	5	16	1.337
320.434	4	17	17	1.441
328.035	4	5	12	2.37
336.424	4	13	20	2.163
346.324	4	9	15	2.675
352.924	4	9	20	2.988
359.024	4	13	6	1.957
364.725	4	15	5	1.236
370.426	4	12	15	3.19
375.427	4	7	18	3.395
384.228	4	7	7	1.339
393.13	4	20	20	1.134
398.631	4	8	20	0
404.832	4	9	11	3.297
410.333	4	8	8	1.34
416.134	4	15	10	2.881
422.035	4	6	5	2.164
427.525	4	12	17	1.34
433.025	4	10	14	2.161
441.025	4	20	11	1.752
