onset	duration	gain	loss	RT	participant_response
4.045	4	11	17	1.443	weakly_reject
12.928	4	13	16	1.649	weakly_reject
21.727	4	9	16	1.237	weakly_reject
29.128	4	13	14	1.854	weakly_reject
37.228	4	14	10	1.339	weakly_accept
42.728	4	14	11	2.367	weakly_reject
50.528	4	10	19	1.545	strongly_reject
56.529	4	20	12	2.779	strongly_accept
66.231	4	8	14	1.442	weakly_reject
71.332	4	9	12	1.955	weakly_reject
80.233	4	10	9	2.779	weakly_reject
85.834	4	12	10	1.855	weakly_accept
91.936	4	16	7	1.03	strongly_accept
98.129	4	19	16	2.574	weakly_reject
103.829	4	9	6	1.442	strongly_accept
110.429	4	19	17	1.958	weakly_reject
115.929	4	5	19	1.34	strongly_reject
122.029	4	16	13	1.75	weakly_reject
127.729	4	7	12	1.854	weakly_reject
136.829	4	7	16	1.543	strongly_reject
142.329	4	19	6	1.132	strongly_accept
150.529	4	19	12	2.265	strongly_accept
155.73	4	17	12	1.544	weakly_accept
161.231	4	8	11	1.543	weakly_reject
169.132	4	18	18	2.47	weakly_reject
178.434	4	15	7	1.234	strongly_accept
186.435	4	16	10	2.781	weakly_accept
191.43	4	9	19	1.649	strongly_reject
196.43	4	20	19	1.34	strongly_reject
204.13	4	11	16	1.443	weakly_reject
212.53	4	16	19	1.442	weakly_reject
220.131	4	6	9	2.264	weakly_reject
226.831	4	11	13	1.34	weakly_reject
234.631	4	6	13	1.236	strongly_reject
244.231	4	12	5	1.132	strongly_accept
251.131	4	18	16	2.163	weakly_reject
256.331	4	8	9	2.059	weakly_reject
262.532	4	17	19	1.543	weakly_reject
272.434	4	15	6	1.031	strongly_accept
278.335	4	19	8	0.929	strongly_accept
287.631	4	14	6	1.133	strongly_accept
293.032	4	5	17	1.443	strongly_reject
298.232	4	6	7	1.647	weakly_reject
304.832	4	12	20	1.338	strongly_reject
311.032	4	10	8	1.956	weakly_reject
318.633	4	12	6	1.339	strongly_accept
324.432	4	8	17	1.235	strongly_reject
331.432	4	8	5	1.446	weakly_accept
340.333	4	12	12	2.162	weakly_reject
347.934	4	14	15	1.545	weakly_reject
353.532	4	19	13	2.674	weakly_accept
362.533	4	16	18	1.853	weakly_reject
369.434	4	17	11	1.442	weakly_accept
375.236	4	6	15	1.338	strongly_reject
380.633	4	11	14	1.648	weakly_reject
389.733	4	6	8	1.854	weakly_reject
395.333	4	19	15	1.958	weakly_reject
401.033	4	18	8	1.234	strongly_accept
408.533	4	14	17	1.442	weakly_reject
415.934	4	5	7	2.059	weakly_reject
422.034	4	15	18	1.237	weakly_reject
428.534	4	13	11	2.265	weakly_reject
435.934	4	18	6	1.131	strongly_accept
441.034	4	5	20	1.337	strongly_reject
