onset	duration	gain	loss	RT	participant_response
4.043	4	18	19	1.855	weakly_reject
10.235	4	7	20	1.234	strongly_reject
18.635	4	10	17	1.339	strongly_reject
26.635	4	18	11	1.544	weakly_accept
32.435	4	16	15	1.236	strongly_reject
38.135	4	9	13	0.927	strongly_reject
45.135	4	17	6	1.752	weakly_accept
53.035	4	7	19	0.824	strongly_reject
60.436	4	18	10	1.649	weakly_accept
69.337	4	10	10	0.926	strongly_reject
76.822	4	11	7	1.649	weakly_reject
81.839	4	18	14	2.163	strongly_accept
88.536	4	8	16	1.648	strongly_reject
97.625	4	6	11	1.03	strongly_reject
103.826	4	16	8	2.162	weakly_accept
112.728	4	12	14	1.133	strongly_reject
122.029	4	12	7	0.824	strongly_reject
127.53	4	16	9	1.956	weakly_accept
136.532	4	13	7	0.927	strongly_reject
144.333	4	8	12	0.825	strongly_reject
154.237	4	11	8	0.928	strongly_reject
159.937	4	18	15	1.853	strongly_reject
167.52	4	6	6	1.853	strongly_reject
174.422	4	8	6	0.825	strongly_reject
183.323	4	15	17	1.236	strongly_reject
193.025	4	14	8	1.443	strongly_reject
198.426	4	5	9	0.829	strongly_reject
204.027	4	10	15	1.236	strongly_reject
209.428	4	9	10	1.338	strongly_reject
217.029	4	20	10	1.441	strongly_accept
222.53	4	15	13	1.545	strongly_accept
228.731	4	19	19	1.546	strongly_reject
236.833	4	10	11	1.442	strongly_reject
244.234	4	18	17	2.06	weakly_reject
250.835	4	11	18	0.001	weakly_reject
255.923	4	15	8	0.001	weakly_reject
264.722	4	8	19	1.648	strongly_reject
269.924	4	13	18	1.648	strongly_reject
278.123	4	7	6	1.133	strongly_reject
284.024	4	7	14	0.927	strongly_reject
289.625	4	20	5	1.34	strongly_accept
298.727	4	15	19	1.647	strongly_reject
303.929	4	10	20	1.235	strongly_reject
311.629	4	18	9	1.44	strongly_accept
316.83	4	17	5	2.06	strongly_accept
322.934	4	16	12	0.928	strongly_reject
329.532	4	11	10	1.441	strongly_reject
335.334	4	19	7	2.163	strongly_accept
340.334	4	16	11	1.442	strongly_reject
345.435	4	7	10	1.855	strongly_reject
354.723	4	14	16	1.235	strongly_reject
360.223	4	19	20	1.237	strongly_reject
367.824	4	6	16	0.825	strongly_reject
377.424	4	10	16	0.927	strongly_reject
383.525	4	10	6	1.649	strongly_reject
389.626	4	15	12	1.957	strongly_reject
395.327	4	12	18	1.031	strongly_reject
402.229	4	16	20	1.338	weakly_reject
407.829	4	6	18	0.72	strongly_reject
413.33	4	15	16	1.443	strongly_reject
419.332	4	7	8	1.546	strongly_reject
425.833	4	5	15	1.856	strongly_reject
433.634	4	20	14	1.236	strongly_reject
441.036	4	17	14	1.647	weakly_reject
