onset	duration	gain	loss	RT	participant_response
4.08	4	6	17	2.594	weakly_reject
13.133	4	11	15	3.12	weakly_accept
18.334	4	5	14	2.391	strongly_reject
23.835	4	7	15	1.246	strongly_reject
30.824	4	15	15	3.017	weakly_accept
37.424	4	12	16	1.977	weakly_reject
46.224	4	20	18	3.52	weakly_accept
54.224	4	12	11	3.222	weakly_reject
61.625	4	12	9	2.185	weakly_accept
69.827	4	15	9	2.283	strongly_accept
76.027	4	13	15	3.222	weakly_reject
83.528	4	15	11	1.973	weakly_accept
93.43	4	17	15	1.976	weakly_accept
99.632	4	20	9	1.455	strongly_accept
105.033	4	18	20	2.913	weakly_reject
113.934	4	7	5	1.559	weakly_accept
120.035	4	19	10	2.807	strongly_accept
125.626	4	17	8	1.351	strongly_accept
133.726	4	14	19	3.225	weakly_reject
142.626	4	17	16	2.494	weakly_accept
149.226	4	7	9	2.078	weakly_reject
154.926	4	6	20	2.805	strongly_reject
160.026	4	5	8	1.457	weakly_reject
169.728	4	18	5	1.352	strongly_accept
175.428	4	5	5	3.013	weakly_accept
180.929	4	14	18	2.183	weakly_reject
187.03	4	6	14	0	NoResp
192.131	4	9	14	2.181	strongly_reject
199.933	4	11	11	1.977	weakly_accept
205.434	4	12	8	2.494	weakly_accept
214.735	4	10	18	2.391	strongly_reject
220.527	4	11	12	3.121	weakly_reject
225.527	4	5	18	1.87	strongly_reject
233.927	4	16	16	1.872	weakly_accept
239.528	4	5	11	2.596	strongly_reject
245.528	4	14	7	3.737	weakly_accept
251.128	4	18	12	2.809	weakly_accept
256.628	4	19	18	2.911	weakly_accept
261.828	4	11	19	3.534	weakly_reject
268.328	4	16	14	2.184	weakly_accept
275.73	4	11	6	2.183	weakly_accept
283.33	4	11	5	1.769	strongly_accept
289.532	4	8	7	1.973	weakly_accept
294.733	4	7	11	3.016	strongly_reject
302.434	4	20	15	2.184	weakly_accept
310.235	4	13	5	2.288	strongly_accept
317.828	4	8	18	2.596	strongly_reject
323.529	4	11	20	1.351	strongly_reject
332.629	4	14	12	1.87	weakly_accept
337.629	4	10	7	3.845	weakly_accept
343.429	4	14	5	1.248	strongly_accept
353.029	4	14	9	1.248	strongly_accept
360.429	4	6	10	2.075	weakly_reject
369.329	4	18	13	1.665	weakly_accept
376.23	4	16	17	3.015	weakly_reject
382.932	4	17	20	3.224	strongly_reject
391.933	4	13	8	1.769	strongly_accept
399.534	4	19	9	1.455	strongly_accept
408.836	4	9	17	3.845	strongly_reject
414.73	4	8	13	1.975	strongly_reject
420.831	4	14	20	1.873	strongly_reject
428.73	4	10	13	1.665	weakly_reject
435.63	4	20	8	1.144	strongly_accept
441.03	4	18	7	0.934	strongly_accept
