onset	duration	gain	loss	RT	participant_response
4.04	4	18	19	1.976	weakly_reject
10.223	4	7	20	1.56	strongly_reject
18.625	4	10	17	1.455	weakly_reject
26.626	4	18	11	1.974	strongly_accept
32.427	4	16	15	1.664	weakly_accept
38.129	4	9	13	1.456	weakly_reject
45.13	4	17	6	1.25	weakly_accept
53.031	4	7	19	1.453	strongly_reject
60.433	4	18	10	1.666	strongly_accept
69.334	4	10	10	2.185	weakly_accept
76.835	4	11	7	1.976	weakly_accept
81.839	4	18	14	1.041	weakly_accept
88.522	4	8	16	1.664	weakly_reject
97.622	4	6	11	1.767	strongly_reject
103.824	4	16	8	1.562	strongly_accept
112.725	4	12	14	1.352	weakly_reject
122.027	4	12	7	1.77	weakly_accept
127.528	4	16	9	2.081	strongly_accept
136.529	4	13	7	1.666	weakly_accept
144.33	4	8	12	1.457	weakly_reject
154.232	4	11	8	1.978	weakly_accept
159.94	4	18	15	1.145	weakly_accept
167.535	4	6	6	1.768	weakly_reject
174.436	4	8	6	1.35	weakly_accept
183.324	4	15	17	1.559	weakly_reject
193.023	4	14	8	1.144	weakly_accept
198.424	4	5	9	1.04	weakly_reject
204.024	4	10	15	0.934	weakly_reject
209.425	4	9	10	1.249	weakly_reject
217.027	4	20	10	1.562	strongly_accept
222.527	4	15	13	0.935	weakly_accept
228.729	4	19	19	1.77	strongly_accept
236.83	4	10	11	1.666	weakly_reject
244.231	4	18	17	2.495	weakly_reject
250.832	4	11	18	1.456	weakly_reject
255.936	4	15	8	1.871	weakly_accept
264.735	4	8	19	1.351	strongly_reject
269.941	4	13	18	1.456	weakly_reject
278.125	4	7	6	1.145	weakly_accept
284.026	4	7	14	1.561	weakly_reject
289.625	4	20	5	1.248	strongly_accept
298.725	4	15	19	2.289	weakly_reject
303.929	4	10	20	1.561	strongly_reject
311.626	4	18	9	1.56	strongly_accept
316.828	4	17	5	1.247	strongly_accept
322.93	4	16	12	0.937	strongly_accept
329.529	4	11	10	1.248	weakly_accept
335.331	4	19	7	1.873	strongly_accept
340.332	4	16	11	1.457	weakly_accept
345.432	4	7	10	1.454	weakly_reject
354.734	4	14	16	1.143	weakly_reject
360.235	4	19	20	1.457	weakly_reject
367.826	4	6	16	1.559	strongly_reject
377.427	4	10	16	1.458	weakly_reject
383.527	4	10	6	1.14	weakly_accept
389.627	4	15	12	0.936	weakly_accept
395.327	4	12	18	1.767	weakly_reject
402.227	4	16	20	1.873	weakly_reject
407.827	4	6	18	1.351	strongly_reject
413.328	4	15	16	1.35	weakly_reject
419.329	4	7	8	1.456	weakly_reject
425.83	4	5	15	1.768	strongly_reject
433.632	4	20	14	1.768	strongly_accept
441.032	4	17	14	1.04	weakly_accept
