onset	duration	gain	loss	RT	participant_response
4.067	4	40	15	1.75	strongly_accept
12.234	4	24	16	1.752	weakly_accept
18.435	4	28	7	1.647	strongly_accept
23.435	4	26	11	1.648	strongly_accept
28.933	4	30	12	1.443	strongly_accept
33.933	4	24	11	1.444	strongly_accept
40.033	4	10	12	1.546	weakly_accept
46.633	4	30	11	1.441	strongly_accept
52.133	4	12	6	1.752	strongly_accept
61.233	4	12	15	2.162	weakly_reject
66.933	4	36	14	1.545	strongly_accept
73.533	4	36	9	1.75	strongly_accept
81.434	4	20	18	1.957	weakly_accept
87.134	4	32	15	1.957	strongly_accept
94.034	4	10	16	1.956	strongly_reject
99.534	4	18	10	3.605	weakly_accept
106.034	4	28	16	2.678	weakly_accept
114.135	4	40	7	1.338	strongly_accept
123.036	4	26	13	1.545	strongly_accept
130.634	4	12	18	2.164	strongly_reject
136.434	4	10	19	1.852	weakly_reject
141.834	4	34	15	1.749	strongly_accept
151.135	4	24	20	2.987	weakly_accept
156.535	4	12	8	2.575	weakly_accept
162.435	4	20	11	2.164	weakly_accept
169.835	4	16	20	3.09	weakly_reject
176.535	4	34	20	2.679	weakly_accept
184.535	4	26	5	1.444	strongly_accept
193.435	4	16	15	2.165	weakly_accept
201.235	4	22	16	2.265	weakly_accept
207.335	4	36	11	2.574	weakly_accept
213.336	4	24	6	1.443	strongly_accept
218.836	4	30	18	2.265	weakly_accept
227.638	4	18	11	2.059	weakly_accept
232.839	4	20	6	1.649	strongly_accept
241.924	4	26	18	2.78	weakly_accept
249.525	4	18	17	2.573	weakly_accept
258.527	4	14	10	1.75	weakly_accept
264.128	4	36	19	2.679	weakly_accept
269.829	4	16	9	2.268	weakly_accept
275.03	4	32	11	3.502	strongly_accept
281.932	4	30	20	2.058	weakly_accept
290.832	4	28	18	2.574	weakly_accept
300.737	4	38	13	3.809	weakly_accept
310.337	4	16	8	2.47	strongly_accept
317.72	4	16	7	2.986	weakly_accept
322.822	4	40	17	2.677	strongly_accept
328.623	4	22	18	1.956	weakly_accept
336.324	4	18	6	3.398	strongly_accept
342.525	4	18	8	3.605	strongly_accept
347.726	4	30	16	2.782	strongly_accept
355.127	4	40	5	1.648	strongly_accept
362.728	4	24	15	1.957	weakly_accept
370.23	4	30	7	1.749	strongly_accept
379.531	4	34	7	1.647	strongly_accept
387.333	4	14	18	2.472	weakly_reject
393.534	4	32	7	1.855	strongly_accept
400.535	4	38	18	3.809	weakly_accept
406.138	4	40	10	1.956	strongly_accept
412.222	4	40	8	1.235	strongly_accept
420.622	4	34	12	1.752	strongly_accept
426.223	4	12	14	2.991	weakly_accept
431.324	4	20	16	2.267	weakly_accept
441.026	4	16	11	0	NoResp
