onset	duration	gain	loss	RT	participant_response
4.079	4	36	20	2.466	weakly_reject
12.934	4	14	15	1.132	strongly_reject
21.736	4	32	8	1.232	weakly_accept
27.128	4	40	16	1.644	weakly_accept
35.028	4	18	7	1.545	weakly_accept
40.229	4	28	6	2.155	strongly_accept
47.829	4	20	13	2.053	weakly_reject
57.529	4	10	6	1.234	weakly_reject
63.129	4	10	11	1.13	strongly_reject
68.529	4	16	10	1.745	weakly_reject
76.229	4	34	5	1.132	strongly_accept
82.429	4	30	19	2.26	weakly_reject
87.93	4	12	13	1.028	strongly_reject
95.532	4	16	18	0.823	strongly_reject
104.833	4	28	13	1.438	weakly_accept
110.034	4	26	15	1.438	weakly_reject
118.938	4	24	10	1.338	weakly_accept
124.73	4	22	9	1.335	weakly_accept
130.43	4	22	20	1.441	weakly_reject
136.03	4	18	13	1.442	weakly_reject
145.13	4	26	12	1.441	weakly_accept
154.13	4	14	7	1.334	weakly_accept
159.13	4	38	17	2.773	weakly_accept
166.631	4	28	15	1.436	weakly_reject
174.031	4	12	11	1.539	weakly_reject
179.231	4	36	18	2.259	weakly_reject
186.231	4	38	7	1.849	strongly_accept
195.333	4	26	19	1.336	weakly_reject
201.434	4	14	16	1.235	strongly_reject
210.735	4	14	8	1.956	weakly_reject
218.935	4	38	8	1.437	strongly_accept
227.831	4	12	20	1.336	strongly_reject
235.632	4	34	6	1.539	strongly_accept
241.432	4	30	6	1.231	strongly_accept
248.832	4	12	17	0.924	strongly_reject
256.832	4	40	20	1.745	weakly_accept
261.832	4	22	7	1.437	weakly_accept
267.532	4	38	16	3.181	weakly_accept
275.933	4	40	11	1.847	strongly_accept
281.433	4	26	20	1.54	weakly_reject
287.032	4	28	10	1.847	weakly_accept
293.033	4	38	12	2.36	strongly_accept
300.634	4	18	15	1.847	weakly_reject
306.535	4	34	9	2.361	weakly_accept
312.633	4	36	16	2.877	weakly_accept
318.133	4	10	17	1.539	strongly_reject
324.333	4	18	5	2.053	weakly_accept
331.033	4	34	11	1.438	weakly_accept
340.633	4	30	9	1.539	weakly_accept
347.533	4	24	18	1.337	weakly_reject
353.733	4	32	10	1.541	weakly_accept
361.534	4	14	12	1.232	weakly_reject
369.634	4	22	13	1.028	weakly_reject
375.334	4	24	5	1.644	strongly_accept
380.834	4	20	10	1.948	weakly_reject
387.734	4	12	7	1.229	weakly_reject
392.834	4	26	14	1.13	weakly_reject
399.435	4	14	13	2.054	strongly_reject
406.837	4	18	19	0.924	strongly_reject
416.734	4	20	17	1.436	weakly_reject
421.835	4	18	12	1.437	weakly_reject
428.334	4	34	16	2.774	weakly_accept
434.937	4	26	6	2.157	weakly_accept
441.035	4	26	17	2.054	weakly_reject
