onset	duration	gain	loss	RT	participant_response
4.049	4	11	11	2.675	weakly_accept
10.231	4	17	16	1.543	weakly_reject
19.931	4	18	12	1.236	strongly_accept
27.632	4	20	15	1.236	strongly_accept
33.332	4	17	8	1.544	strongly_accept
40.932	4	15	15	1.853	strongly_reject
50.233	4	6	17	1.546	strongly_reject
59.134	4	5	14	1.03	strongly_reject
66.636	4	19	18	2.159	weakly_reject
72.132	4	16	17	2.06	weakly_reject
77.233	4	12	9	1.236	strongly_accept
83.232	4	10	18	1.644	strongly_reject
91.033	4	10	13	1.44	strongly_reject
98.633	4	11	5	1.131	strongly_accept
105.533	4	7	15	1.955	strongly_reject
113.533	4	11	15	1.853	weakly_reject
122.533	4	18	5	1.021	strongly_accept
128.633	4	17	15	1.745	weakly_accept
135.633	4	20	18	1.955	weakly_accept
141.733	4	9	17	1.333	strongly_reject
147.333	4	14	7	1.229	strongly_accept
153.034	4	18	7	1.339	strongly_accept
160.635	4	5	5	1.853	weakly_reject
166.136	4	6	10	2.264	strongly_reject
174.334	4	14	5	1.236	strongly_accept
179.734	4	17	20	2.061	weakly_reject
185.534	4	19	10	1.34	strongly_accept
193.434	4	16	16	1.852	weakly_reject
202.234	4	11	6	1.85	weakly_accept
210.034	4	14	9	2.679	weakly_accept
216.535	4	13	8	2.163	weakly_accept
226.435	4	9	14	1.646	strongly_reject
231.635	4	14	18	2.058	strongly_reject
240.535	4	5	8	1.442	strongly_reject
249.635	4	12	8	1.749	weakly_accept
258.536	4	5	18	2.573	strongly_reject
263.94	4	7	9	2.783	weakly_reject
269.838	4	7	5	2.576	weakly_accept
278.235	4	6	14	2.059	weakly_reject
283.436	4	11	19	1.444	strongly_reject
289.636	4	16	14	2.369	weakly_reject
297.736	4	13	15	1.133	weakly_reject
302.836	4	11	20	1.958	strongly_reject
310.236	4	14	19	1.235	strongly_reject
319.53	4	20	8	1.546	weakly_reject
326.131	4	14	20	2.472	weakly_reject
332.232	4	12	11	2.886	weakly_reject
337.833	4	18	13	1.547	weakly_accept
347.436	4	8	18	1.648	strongly_reject
354.82	4	8	13	2.471	strongly_reject
360.321	4	15	11	2.268	weakly_accept
366.522	4	10	7	1.854	weakly_reject
371.523	4	5	11	2.06	strongly_reject
376.723	4	12	16	2.369	weakly_reject
383.325	4	7	11	1.545	weakly_reject
389.125	4	6	20	1.75	strongly_reject
395.827	4	18	20	2.678	weakly_reject
401.528	4	20	9	1.442	strongly_accept
407.029	4	8	7	1.853	weakly_accept
412.63	4	19	9	2.06	strongly_accept
421.731	4	13	5	2.472	weakly_accept
428.632	4	15	9	2.368	weakly_accept
433.634	4	14	12	2.366	weakly_accept
441.035	4	11	12	2.162	weakly_reject
