onset	duration	gain	loss	RT	participant_response
4.038	4	40	5	1.544	strongly_accept
10.937	4	38	18	1.545	weakly_reject
16.537	4	22	16	1.236	weakly_reject
25.32	4	18	6	1.545	strongly_accept
34.422	4	34	7	1.033	strongly_accept
40.623	4	20	6	1.031	strongly_accept
45.824	4	12	18	1.235	strongly_reject
52.725	4	12	14	1.134	strongly_reject
58.826	4	32	11	1.953	weakly_accept
68.128	4	34	20	1.442	weakly_reject
73.829	4	18	17	1.132	strongly_reject
81.63	4	26	18	1.234	weakly_reject
87.132	4	24	11	1.753	weakly_accept
92.132	4	20	18	1.543	strongly_reject
101.834	4	26	5	1.646	strongly_accept
109.435	4	10	19	1.235	strongly_reject
115.022	4	24	20	1.238	strongly_reject
121.522	4	30	7	1.132	strongly_accept
127.522	4	18	8	1.646	strongly_accept
133.723	4	24	16	1.441	weakly_reject
142.125	4	36	11	1.546	weakly_accept
151.026	4	40	15	1.442	weakly_accept
160.127	4	28	18	1.645	weakly_reject
165.628	4	28	16	1.439	weakly_reject
174.53	4	30	12	1.648	weakly_accept
180.031	4	26	11	1.34	weakly_reject
187.832	4	34	15	1.645	weakly_reject
195.434	4	10	16	1.441	strongly_reject
204.735	4	30	11	1.957	strongly_reject
210.823	4	20	11	1.234	strongly_reject
218.423	4	40	17	2.469	strongly_accept
225.823	4	16	7	1.645	weakly_accept
232.524	4	34	12	1.751	weakly_accept
238.025	4	26	13	1.546	weakly_accept
246.126	4	14	10	1.749	weakly_reject
251.927	4	32	7	1.237	strongly_accept
258.528	4	24	15	1.443	strongly_accept
265.129	4	40	10	1.339	strongly_accept
270.33	4	20	16	1.545	weakly_reject
275.731	4	38	13	1.34	strongly_accept
281.532	4	28	7	1.03	strongly_accept
288.533	4	36	9	1.029	strongly_accept
296.435	4	18	11	1.647	weakly_reject
302.136	4	14	18	1.854	strongly_reject
309.625	4	30	16	2.471	weakly_reject
315.325	4	24	6	1.339	strongly_accept
320.425	4	12	15	1.234	strongly_reject
330.025	4	10	12	1.133	strongly_reject
339.926	4	16	11	1.648	weakly_reject
346.127	4	30	20	1.443	strongly_reject
354.328	4	36	14	1.751	weakly_reject
360.429	4	12	8	2.161	strongly_reject
369.331	4	22	18	1.546	strongly_reject
375.232	4	36	19	1.75	weakly_reject
383.233	4	40	8	1.24	strongly_accept
388.434	4	30	18	1.441	weakly_reject
393.835	4	16	20	1.44	strongly_reject
402.826	4	32	15	2.059	weakly_accept
408.426	4	16	9	2.265	weakly_reject
413.526	4	16	8	1.542	weakly_reject
420.926	4	40	7	1.133	strongly_accept
428.327	4	18	10	1.338	weakly_reject
433.327	4	12	6	1.953	strongly_reject
441.027	4	16	15	1.854	strongly_reject
