onset	duration	gain	loss	RT	participant_response
4.052	4	12	19	2.078	weakly_accept
12.232	4	40	12	1.872	strongly_accept
21.832	4	10	20	1.975	strongly_reject
27.433	4	20	20	1.662	weakly_accept
35.335	4	16	5	0.833	strongly_accept
41.536	4	24	9	0.935	strongly_accept
46.733	4	16	6	1.248	strongly_accept
52.233	4	22	11	1.663	strongly_accept
57.833	4	36	12	1.143	strongly_accept
66.933	4	28	5	1.041	strongly_accept
75.333	4	22	19	1.35	weakly_accept
81.933	4	38	6	1.04	strongly_accept
88.833	4	32	14	1.562	weakly_accept
94.533	4	32	12	1.351	strongly_accept
100.133	4	24	13	1.453	weakly_accept
107.033	4	16	13	1.767	weakly_accept
114.034	4	22	10	1.249	strongly_accept
119.834	4	36	8	0.831	strongly_accept
126.034	4	12	9	1.352	weakly_accept
133.835	4	10	15	1.765	strongly_reject
139.336	4	30	14	1.334	strongly_accept
144.737	4	26	16	1.248	weakly_accept
150.434	4	28	8	0.934	strongly_accept
158.034	4	40	18	0.834	strongly_accept
165.734	4	30	10	0.834	strongly_accept
173.134	4	34	19	1.455	weakly_accept
182.035	4	22	8	0.937	strongly_accept
191.735	4	38	14	1.145	strongly_accept
196.934	4	32	20	1.456	weakly_accept
204.734	4	16	16	1.665	weakly_reject
214.635	4	10	10	1.873	weakly_accept
222.035	4	20	8	1.663	strongly_accept
228.635	4	18	20	2.078	strongly_reject
233.836	4	30	8	1.038	strongly_accept
239.937	4	14	9	1.248	weakly_accept
246.639	4	14	14	1.143	weakly_accept
252.635	4	26	9	0.833	strongly_accept
258.336	4	36	7	0.833	strongly_accept
267.135	4	28	17	1.56	weakly_accept
272.635	4	28	20	1.35	weakly_accept
278.435	4	34	8	0.83	strongly_accept
285.936	4	28	9	0.73	strongly_accept
294.836	4	38	20	1.041	weakly_accept
299.931	4	24	17	1.352	weakly_accept
309.032	4	38	19	1.353	strongly_accept
317.036	4	32	5	0.726	strongly_accept
324.637	4	36	10	0.833	strongly_accept
330.72	4	38	15	1.041	strongly_accept
338.321	4	10	7	1.144	weakly_accept
347.323	4	12	10	1.04	weakly_accept
356.624	4	18	14	1.456	weakly_accept
362.726	4	38	9	1.04	strongly_accept
370.127	4	32	13	0.831	strongly_accept
379.429	4	20	9	0.831	strongly_accept
385.63	4	34	13	1.249	strongly_accept
390.631	4	24	14	1.352	weakly_accept
395.731	4	20	7	0.831	strongly_accept
401.232	4	10	18	1.559	strongly_reject
407.733	4	16	17	1.665	weakly_reject
415.835	4	30	17	1.767	weakly_accept
421.737	4	14	6	0.935	strongly_accept
426.721	4	20	15	1.454	weakly_accept
432.122	4	20	5	1.146	strongly_accept
441.022	4	34	14	1.144	strongly_accept
