onset	duration	gain	loss	RT	participant_response
4.045	4	18	18	1.753	weakly_accept
10.736	4	17	19	2.472	weakly_reject
19.627	4	12	10	1.442	weakly_accept
28.727	4	16	18	1.646	weakly_reject
34.827	4	9	6	1.855	weakly_accept
41.028	4	9	12	1.648	weakly_reject
50.931	4	8	14	2.779	strongly_reject
59.728	4	6	8	2.468	weakly_reject
66.729	4	5	7	1.954	weakly_reject
75.13	4	10	9	3.499	weakly_reject
82.732	4	17	12	3.191	weakly_accept
90.233	4	19	17	1.542	weakly_accept
95.734	4	8	17	1.338	strongly_reject
103.135	4	11	14	1.544	weakly_reject
109.729	4	20	12	1.647	strongly_accept
117.529	4	10	8	2.163	weakly_accept
123.529	4	18	8	1.648	strongly_accept
130.93	4	15	18	1.956	weakly_reject
137.829	4	12	5	2.058	strongly_accept
147.529	4	14	17	2.367	weakly_reject
153.729	4	15	7	1.751	weakly_accept
163.33	4	7	12	1.752	strongly_reject
168.933	4	6	7	2.471	weakly_reject
174.031	4	16	19	3.6	weakly_reject
179.732	4	19	16	2.059	weakly_accept
187.433	4	9	16	1.443	strongly_reject
192.937	4	5	20	1.132	strongly_reject
198.135	4	14	11	2.366	weakly_accept
203.536	4	15	6	2.059	strongly_accept
208.73	4	17	11	1.751	strongly_accept
213.932	4	10	19	2.265	strongly_reject
219.83	4	6	13	2.057	strongly_reject
225.43	4	12	12	2.679	weakly_reject
231.13	4	19	15	3.195	weakly_accept
238.731	4	7	16	1.751	strongly_reject
247.731	4	19	8	1.752	strongly_accept
253.831	4	16	7	3.088	weakly_accept
259.231	4	19	13	1.854	weakly_accept
266.831	4	11	16	3.089	weakly_reject
275.032	4	12	20	2.162	strongly_reject
282.833	4	16	13	3.189	weakly_accept
287.834	4	5	17	2.574	strongly_reject
293.535	4	18	16	2.676	weakly_accept
302.631	4	16	10	2.678	strongly_accept
308.132	4	12	6	2.779	weakly_accept
317.032	4	5	19	2.059	strongly_reject
322.532	4	14	6	1.339	strongly_accept
330.432	4	19	6	1.337	strongly_accept
336.032	4	11	13	2.782	weakly_reject
344.132	4	13	11	3.605	weakly_reject
350.732	4	20	19	0	NoResp
360.032	4	6	15	1.543	strongly_reject
368.932	4	14	15	1.75	weakly_reject
375.033	4	13	14	1.75	weakly_reject
380.034	4	8	11	2.574	weakly_reject
386.235	4	9	19	1.339	strongly_reject
391.336	4	8	9	2.059	weakly_reject
397.833	4	19	12	2.161	weakly_accept
405.233	4	18	6	1.647	strongly_accept
412.133	4	6	9	1.546	weakly_reject
417.933	4	11	17	2.881	strongly_reject
427.233	4	8	5	2.573	weakly_accept
435.233	4	14	10	2.161	weakly_accept
441.034	4	13	16	1.749	weakly_reject
