onset	duration	gain	loss	RT	participant_response
4.045	4	5	11	1.753	strongly_reject
9.135	4	20	18	1.957	strongly_accept
15.336	4	19	10	1.545	strongly_accept
23.136	4	7	5	1.442	weakly_accept
30.736	4	6	14	1.545	strongly_reject
39.636	4	18	5	1.855	strongly_accept
45.136	4	18	13	1.751	weakly_accept
50.836	4	17	20	3.399	weakly_accept
58.22	4	17	16	3.501	weakly_accept
67.321	4	7	15	2.677	weakly_reject
72.322	4	11	19	2.473	weakly_reject
78.523	4	13	8	1.751	strongly_accept
84.124	4	8	7	1.443	weakly_accept
93.026	4	15	11	1.134	strongly_accept
98.927	4	17	15	1.546	weakly_accept
107.028	4	15	15	2.162	weakly_accept
113.929	4	8	18	3.808	strongly_reject
121.331	4	11	12	0	NoResp
126.532	4	20	15	1.546	strongly_accept
132.233	4	9	17	1.443	weakly_reject
139.634	4	14	5	1.235	strongly_accept
145.738	4	5	14	1.956	strongly_reject
151.437	4	11	11	2.058	weakly_accept
156.421	4	15	9	1.235	strongly_accept
164.422	4	8	13	2.678	weakly_reject
173.323	4	14	12	1.747	weakly_accept
178.824	4	14	7	1.028	strongly_accept
187.226	4	19	18	1.442	weakly_accept
193.827	4	11	6	1.852	strongly_accept
202.928	4	11	5	1.133	strongly_accept
212.23	4	5	18	1.648	strongly_reject
218.031	4	5	8	1.751	weakly_reject
223.632	4	10	18	1.647	weakly_reject
231.333	4	9	14	1.339	weakly_reject
237.835	4	10	7	1.338	weakly_accept
243.035	4	14	18	2.163	weakly_reject
250.022	4	14	19	2.779	weakly_reject
255.423	4	7	9	1.75	weakly_reject
260.823	4	17	8	1.442	strongly_accept
267.723	4	10	13	2.884	weakly_accept
277.025	4	18	20	0	NoResp
284.926	4	12	8	0	NoResp
292.528	4	19	9	1.132	strongly_accept
297.728	4	12	9	1.544	strongly_accept
302.829	4	16	16	1.547	strongly_accept
308.83	4	12	16	1.854	weakly_reject
314.331	4	7	11	3.5	weakly_reject
320.432	4	11	20	1.546	weakly_reject
326.233	4	5	5	1.852	weakly_accept
332.434	4	13	15	1.954	weakly_reject
342.024	4	11	15	1.339	weakly_reject
347.624	4	18	7	1.235	strongly_accept
353.124	4	6	20	1.339	strongly_reject
361.324	4	6	10	1.749	weakly_reject
368.824	4	18	12	1.339	strongly_accept
378.726	4	16	14	1.751	strongly_accept
388.427	4	12	11	1.749	strongly_accept
396.229	4	6	17	2.161	strongly_reject
405.031	4	14	20	0	NoResp
411.732	4	20	8	1.029	strongly_accept
418.333	4	20	9	1.031	strongly_accept
424.434	4	14	9	1.75	weakly_accept
433.435	4	16	17	2.781	weakly_accept
441.025	4	13	5	1.133	strongly_accept
