onset	duration	gain	loss	RT	participant_response
4.049	4	20	14	1.444	weakly_accept
10.032	4	32	18	2.059	weakly_accept
16.533	4	34	18	2.061	weakly_accept
25.435	4	36	15	1.339	weakly_accept
33.424	4	10	5	2.576	weakly_reject
42.724	4	16	12	3.089	weakly_reject
48.525	4	26	8	2.678	weakly_accept
53.725	4	40	6	1.134	strongly_accept
61.925	4	10	14	1.546	strongly_reject
67.425	4	26	10	2.677	weakly_reject
75.827	4	20	12	1.751	strongly_reject
83.228	4	18	9	1.751	weakly_reject
91.03	4	12	16	1.236	strongly_reject
97.931	4	34	17	3.287	weakly_accept
103.332	4	36	6	1.545	strongly_accept
108.833	4	30	5	1.03	strongly_accept
114.434	4	14	20	1.546	weakly_reject
123.535	4	10	8	1.956	strongly_reject
129.726	4	24	19	1.441	strongly_reject
138.626	4	22	15	1.442	strongly_reject
145.626	4	12	12	1.34	strongly_reject
150.626	4	20	19	1.338	strongly_reject
156.426	4	32	16	3.811	weakly_accept
164.326	4	28	12	2.472	weakly_reject
170.428	4	28	11	2.369	weakly_accept
176.128	4	40	13	1.235	weakly_accept
182.729	4	14	5	2.369	weakly_accept
187.93	4	24	7	1.03	weakly_accept
196.932	4	32	19	2.575	weakly_accept
204.533	4	22	12	1.34	weakly_accept
214.435	4	32	6	1.957	strongly_accept
220.536	4	22	5	1.55	strongly_accept
226.127	4	32	9	1.34	strongly_accept
231.127	4	28	19	3.295	weakly_reject
236.327	4	26	7	1.751	weakly_accept
242.527	4	32	17	1.444	weakly_accept
252.228	4	16	14	1.749	strongly_reject
258.828	4	12	5	3.193	weakly_reject
267.928	4	38	10	3.605	weakly_accept
273.328	4	36	13	1.647	weakly_accept
282.13	4	16	19	1.34	strongly_reject
287.831	4	22	17	1.237	strongly_reject
294.732	4	10	9	1.237	strongly_reject
301.433	4	40	9	1.649	strongly_accept
308.835	4	28	14	2.678	weakly_accept
316.936	4	22	6	1.545	strongly_accept
322.829	4	14	17	1.752	weakly_reject
330.429	4	18	18	1.441	strongly_reject
336.129	4	18	16	1.338	strongly_reject
341.229	4	24	12	2.679	weakly_reject
346.729	4	14	11	2.268	strongly_reject
354.529	4	36	5	1.648	strongly_accept
360.629	4	30	13	1.441	strongly_accept
366.129	4	36	17	1.234	strongly_accept
371.229	4	40	14	2.06	strongly_accept
378.83	4	10	13	1.443	strongly_reject
387.732	4	40	19	2.164	weakly_accept
395.433	4	24	8	1.442	weakly_accept
401.634	4	38	11	1.649	weakly_accept
407.235	4	30	15	1.958	weakly_accept
414.63	4	34	10	1.853	weakly_accept
423.931	4	22	14	2.576	weakly_reject
431.43	4	38	5	1.961	strongly_accept
441.03	4	14	19	1.958	strongly_reject
