onset	duration	gain	loss	RT	participant_response
4.042	4	14	17	1.954	strongly_reject
9.624	4	40	13	2.261	weakly_accept
18.524	4	14	5	1.647	weakly_accept
24.625	4	10	14	1.03	strongly_reject
29.824	4	38	10	1.543	strongly_accept
38.025	4	34	18	2.571	weakly_reject
43.527	4	34	10	2.061	weakly_accept
48.627	4	22	15	1.747	weakly_reject
57.029	4	40	14	2.468	strongly_accept
62.03	4	40	6	1.132	strongly_accept
67.631	4	24	8	1.543	weakly_accept
75.432	4	22	14	1.543	weakly_reject
82.933	4	18	9	1.544	weakly_reject
89.835	4	36	17	1.129	weakly_reject
95.536	4	32	9	1.643	weakly_accept
101.726	4	36	6	1.541	strongly_accept
107.226	4	32	18	1.648	weakly_reject
113.326	4	28	19	1.644	weakly_reject
118.326	4	12	5	2.366	weakly_accept
124.126	4	22	12	1.338	weakly_reject
132.126	4	10	5	1.338	weakly_reject
138.026	4	36	13	3.597	weakly_accept
143.827	4	38	11	2.265	weakly_accept
149.228	4	10	8	2.057	weakly_reject
157.03	4	32	16	1.645	weakly_reject
166.932	4	24	12	2.774	weakly_accept
174.333	4	32	6	1.747	weakly_accept
181.034	4	32	19	2.057	weakly_reject
190.736	4	14	19	1.131	strongly_reject
199.727	4	20	12	1.337	weakly_reject
206.327	4	32	17	1.648	weakly_reject
215.627	4	26	8	1.438	weakly_accept
223.227	4	30	13	1.647	weakly_accept
232.328	4	14	11	1.442	weakly_reject
241.228	4	28	14	1.855	weakly_reject
250.829	4	36	15	1.439	weakly_accept
257.831	4	16	14	1.128	weakly_reject
266.632	4	14	20	1.028	strongly_reject
275.734	4	34	17	1.442	weakly_accept
281.235	4	26	10	1.134	weakly_accept
286.736	4	10	13	1.03	strongly_reject
292.329	4	20	19	1.441	strongly_reject
299.932	4	30	15	2.268	weakly_reject
306.429	4	10	9	1.236	strongly_reject
312.529	4	40	9	2.261	strongly_accept
317.729	4	12	12	1.749	strongly_reject
326.629	4	18	18	0.925	strongly_reject
332.629	4	16	19	1.029	strongly_reject
340.329	4	16	12	1.648	weakly_reject
345.529	4	24	19	1.133	weakly_reject
351.231	4	28	12	1.545	weakly_accept
357.432	4	30	5	1.03	strongly_accept
362.533	4	36	5	1.544	strongly_accept
370.634	4	22	17	1.236	weakly_reject
376.835	4	22	5	1.236	weakly_accept
384.43	4	12	16	1.029	strongly_reject
390.13	4	20	14	1.133	strongly_reject
397.03	4	18	16	1.235	strongly_reject
404.43	4	40	19	2.574	weakly_accept
412.33	4	38	5	2.057	strongly_accept
421.631	4	26	7	1.338	strongly_accept
429.031	4	22	6	1.338	strongly_accept
434.431	4	24	7	2.254	strongly_accept
441.031	4	28	11	2.656	weakly_accept
