onset	duration	gain	loss	RT	participant_response
4.044	4	5	11	1.763	weakly_accept
9.126	4	20	18	1.559	strongly_accept
15.328	4	19	10	1.561	strongly_accept
23.129	4	7	5	1.457	weakly_accept
30.73	4	6	14	1.457	weakly_reject
39.632	4	18	5	1.56	strongly_accept
45.133	4	18	13	1.354	weakly_accept
50.834	4	17	20	1.247	strongly_reject
58.235	4	17	16	1.352	strongly_reject
67.326	4	7	15	1.453	weakly_accept
72.327	4	11	19	0.937	strongly_reject
78.527	4	13	8	1.872	weakly_reject
84.127	4	8	7	1.353	weakly_reject
93.027	4	15	11	1.457	weakly_reject
98.927	4	17	15	1.352	weakly_reject
107.027	4	15	15	2.081	strongly_reject
113.928	4	8	18	1.249	strongly_reject
121.33	4	11	12	2.08	weakly_reject
126.53	4	20	15	1.458	weakly_reject
132.231	4	9	17	1.457	weakly_reject
139.632	4	14	5	1.662	weakly_accept
145.734	4	5	14	1.041	weakly_reject
151.435	4	11	11	1.561	weakly_reject
156.435	4	15	9	1.35	weakly_accept
164.428	4	8	13	1.142	strongly_reject
173.328	4	14	12	1.664	weakly_reject
178.828	4	14	7	2.183	weakly_accept
187.228	4	19	18	1.249	strongly_reject
193.828	4	11	6	1.664	weakly_accept
202.929	4	11	5	1.142	weakly_reject
212.228	4	5	18	1.249	strongly_reject
218.029	4	5	8	1.248	strongly_reject
223.631	4	10	18	1.145	strongly_reject
231.332	4	9	14	1.041	strongly_reject
237.833	4	10	7	1.87	weakly_accept
243.034	4	14	18	1.249	weakly_reject
250.035	4	14	19	1.872	weakly_reject
255.429	4	7	9	1.143	weakly_reject
260.829	4	17	8	1.353	strongly_accept
267.729	4	10	13	1.144	weakly_reject
277.03	4	18	20	1.974	strongly_reject
284.93	4	12	8	1.248	weakly_accept
292.53	4	19	9	1.769	weakly_accept
297.73	4	12	9	1.247	strongly_reject
302.83	4	16	16	1.456	strongly_reject
308.83	4	12	16	1.351	strongly_reject
314.33	4	7	11	1.146	strongly_reject
320.431	4	11	20	1.038	strongly_reject
326.232	4	5	5	2.079	weakly_accept
332.433	4	13	15	1.456	weakly_reject
342.035	4	11	15	1.353	weakly_reject
347.636	4	18	7	1.767	strongly_accept
353.131	4	6	20	1.146	strongly_reject
361.331	4	6	10	1.662	weakly_reject
368.83	4	18	12	1.767	weakly_reject
378.731	4	16	14	1.248	weakly_reject
388.431	4	12	11	1.145	strongly_reject
396.231	4	6	17	1.247	strongly_reject
405.031	4	14	20	1.353	weakly_reject
411.731	4	20	8	1.457	strongly_accept
418.332	4	20	9	1.765	strongly_accept
424.433	4	14	9	1.664	weakly_accept
433.434	4	16	17	1.246	strongly_reject
441.036	4	13	5	1.872	weakly_accept
