CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	NonSteadyStateOutlier03	NonSteadyStateOutlier04	NonSteadyStateOutlier05	X	Y	Z	RotX	RotY	RotZ
7642.7627	6931.825	9591.487	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-0.0271196	-0.0456067	-0.0474873	0.00266735	0.000488843	-0.00143404
7537.904	6937.5664	9552.241	2.03241682	98.29440308	1.80259085	0.6744343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.012283100000000003	0.0579693	0.0549816	-0.00245027	-0.000600801	0.00093843
7432.35	6941.0386	9534.584	1.69898462	82.1685257	1.56481445	0.33041525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0307826	0.108691	-0.0283109	-0.00099052	-0.00269602	0.000935368
7434.172	6961.755	9616.755	2.10568881	101.83808899	1.85075581	0.93214784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.00897389	-0.08234669999999998	-0.134242	0.00660956	-0.0008210669999999998	-0.00149805
7343.2524	6920.6284	9535.731	1.5394783	74.45426941	1.41214645	0.13896467999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.00489018	-0.00306733	-0.121728	0.00635173	-0.000402085	-0.00131311
7440.223000000001	6937.6484	9533.752	1.51519096	73.27965546	1.40283263	0.6643003599999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0279205	0.306166	0.0854357	0.00723277	-0.000677132	2.82632e-05
7380.608	6881.54	9469.578000000001	1.31580985	63.63692093	1.21559644	0.28872564	-0.0271352908	0.0403180836	-0.10863122609999999	0.0951530606	-0.0650473343	-0.0515748015	-0.0233823122	0.0621599799	0.07450583940000001	-0.034443322400000004	0.0387444798	-0.0178984534	0.0668895932	0.0668883542	0.0668862892	0.0668833982	0.0668796813	0.0	0.0	0.0	0.0	0.0	0.0	-0.0552149	0.301546	0.214857	0.00890759	-0.00120932	0.000369054
7305.3223	6851.1533	9420.165	1.14881384	55.56044006	1.07796085	0.21440839999999997	0.0084736611	-0.0378917027	-0.0109198634	0.0837312387	-0.0027415058000000003	0.0238636377	-0.0154824886	-0.0236879972	0.0076969638	-0.037061966099999996	-0.034831196099999996	-0.0183124703	0.0668862892	0.06687513860000001	0.0668565555	0.0668305422	0.0667971015	0.0	0.0	0.0	0.0	0.0	0.0	-0.0391784	0.265616	0.179058	0.00724671	-0.0013296	-0.000382644
7258.95	6860.4473	9418.976	1.11343324	53.84931946	1.0697298	0.19868815	0.0258896869	-0.0551927304	0.034405811099999996	0.0778215846	-0.0067709686	-0.08653685480000001	-0.023144662400000002	0.025444074900000002	-0.0547931371	-0.037818406400000004	-0.062003116399999995	0.0193233978	0.0668796813	0.0668487099	0.0667971015	0.066724872	0.0666320437	0.0	0.0	0.0	0.0	0.0	0.0	-0.0138256	0.386131	0.179479	0.00627908	-0.00129222	-0.000425621
7241.3076	6840.52	9419.294	1.10657263	53.51751709	1.05374646	0.13660809999999993	-0.0499788046	0.016186495	0.0558583743	0.0586832195	-0.0413381299	-0.005516631	0.0475505099	-0.0173240859	0.0645050392	0.0089419378	-0.0900715291	-0.018654363	0.06686977	0.0668090734	0.06670795339999999	0.066566471	0.0663847118	0.0	0.0	0.0	0.0	0.0	0.0	-0.0181166	0.402403	0.188153	0.007947	-0.000973099	-0.00026524
