CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	X	Y	Z	RotX	RotY	RotZ
7534.7925	6593.151	9540.16	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0164824	-0.0313262	-0.0236611	0.0	-0.0	0.0
7419.4746	6593.041	9490.833	1.03509724	46.92251587	1.02104151	0.09361079000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.00680976	-0.0240547	0.00702348	0.000321387	-0.000325864	0.0
7364.3394	6580.0747	9466.146999999999	0.99010837	44.88310242	0.99554497	0.12831978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0055672	0.0445825	0.0185241	-0.000291537	-0.0	0.0
7342.3193	6576.0034	9442.464	1.00158191	45.4032135	0.99809146	0.13700885	-0.0618403765	0.0386043582	-0.0052962374	0.0386029535	-0.0403905987	0.0340284603	0.0656117013	-0.027360184	0.04752945980000001	-0.0389047252	0.0526791701	-0.0916401444	0.0666662605	0.06666504200000001	0.0666630113	0.0666601683	0.066656513	0.0666520456	0.0	0.0	0.0	-0.0124292	-0.0261351	0.0061745	0.000302008	-0.000348048	0.0
7322.1875	6589.584	9432.158000000001	0.98695242	44.74003983	0.98088986	0.0440795	-0.061512573099999995	0.0239878703	-0.0121382885	0.0631124265	0.0049081003	0.022984851299999998	0.0517232616	-0.0166420232	0.0123956344	0.09713643039999999	-0.042365117	-0.0113529525	0.0666630113	0.0666520456	0.0666337707	0.0666081887	0.0665753023	0.0665351152	0.0	0.0	0.0	-0.0155375	-0.00824595	0.0137721	0.000554911	-0.000404834	0.0
7286.14	6588.1094	9429.438	0.99787426	45.23514175	0.99766392	0.185313035	-0.0604571553	0.022691677099999998	0.0248751829	0.043204795	-0.0301489718	-0.003444345	0.0733450096	-0.0037296025	-0.0393585727	0.014242860900000001	-0.0277826381	-0.052872017400000006	0.066656513	0.0666260551	0.0665753023	0.06650427	0.0664129799	0.0663014597	0.0	0.0	0.0	0.0200777	0.0458711	0.0138315	-0.000510446	0.000351881	-8.83557e-05
7293.654	6573.816999999999	9428.847	1.00665724	45.63328552	0.99820656	0.150009915	-0.0696206187	0.0060330354	0.013993314199999999	0.0286031569	0.0595555884	0.0106173742	0.05686435559999999	0.012981693400000001	0.0849709967	-0.0440219165	-0.0213364902	0.016100899499999998	0.066646766	0.0665870758	0.0664876318	0.0663484933	0.0661697434	0.0659514889	0.0	0.0	0.0	0.0151394	-0.0312205	0.0169106	0.000684929	0.000293412	-0.00013253
7292.8115	6583.1990000000005	9435.359	1.00673819	45.63695908	0.99863422	0.20815015	-0.060854322599999996	-0.006763155999999999	0.015090488300000001	0.0312220234	0.060097217800000005	-0.039263296499999996	0.045593595199999996	0.0232981285	-0.0174677307	0.0526084301	-0.0771344082	-0.0105013426	0.0666337707	0.0665351152	0.0663707976	0.0661409801	0.06584588940000001	0.0654858167	0.0	0.0	0.0	-0.0136349	0.0451063	0.023842	-0.000541934	-0.000269548	0.0
7304.4844	6575.0109999999995	9443.613000000001	1.01337194	45.93767548	1.01150036	0.106377887	-0.054477034699999996	-0.0148063507	0.0502845567	0.0081304988	0.0375999356	-0.0185053853	0.0540342733	0.044742549000000006	-0.0410158702	-0.0046443884	-0.0317394301	-0.0597120848	0.0666175278	0.0664701835	0.066224851	0.0658818921	0.06544181219999999	0.0649052602	0.0	0.0	0.0	0.018517	0.0370466	0.000940763	-0.00069689	0.000440797	0.0
7320.1577	6582.4653	9440.811	0.99406821	45.06260681	0.99743146	0.132624322	-0.0540587372	-0.019875522	0.0221362525	-0.0129027124	0.0442266471	0.0192082393	0.04415267639999999	0.0334246462	0.0593207159	0.0022960691	-0.0453719932	-0.0038643588	0.066598038	0.06639229320000001	0.06604985599999999	0.06557143139999999	0.0649580043	0.0642108378	0.0	0.0	0.0	0.0219152	-0.0228841	0.0136297	0.000316955	0.000407364	-8.48517e-05
