CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	NonSteadyStateOutlier03	NonSteadyStateOutlier04	NonSteadyStateOutlier05	NonSteadyStateOutlier06	NonSteadyStateOutlier07	NonSteadyStateOutlier08	NonSteadyStateOutlier09	X	Y	Z	RotX	RotY	RotZ
7188.3486	6139.6343	8931.256	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0331576	-0.033626	-0.0293381	-0.00019233	-0.000344315	-0.000447496
7086.710999999999	6147.7847	8886.376	1.03670084	52.09318161	1.0357132	0.08533995999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00583999	-0.0389901	-0.0192545	0.000122925	-0.000543008	-0.000109951
7038.356	6148.9614	8865.116	1.03273034	51.89366531	1.00738394	0.046039199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00586121	-0.0351798	0.000581429	0.000156894	-0.000489493	0.00025
7035.5874	6139.3135	8860.751	1.01738155	51.12240601	1.00964844	0.152995826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00585404	0.0575661	0.008307939999999998	-0.000415324	-0.000343238	-8.185189999999998e-05
7011.715	6143.4976	8849.091	1.04730213	52.62588501	1.02527642	0.149100555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-0.00136427	-0.022089	-0.0108719	0.000327772	-0.000433807	-2.64698e-23
6963.847	6141.3769999999995	8830.506	1.02200389	51.35467529	1.00323355	0.07275629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0116207	-0.0190081	0.00044647	0.000457703	0.000343703	0.0
6981.2363	6142.6235	8830.171	1.03000319	51.75662994	1.02249384	0.169538585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.00840368	0.0540904	-0.008105219999999998	-0.000570253	1.43787e-05	0.0
6992.494000000001	6136.548000000001	8828.776	1.0523876	52.88142395	1.02262497	0.105974515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0169861	0.032536	0.0062816	-0.000425443	0.000434615	-0.000327824
6985.1064	6142.124	8834.446	1.06594861	53.56285477	1.03362203	0.14735345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0183089	-0.0348307	0.0128726	0.000502788	0.000249211	0.0
6968.7266	6138.2783	8831.254	1.01572871	51.03935242	1.00234437	0.073286785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00469671	-0.0115653	0.015061	0.000648074	4.08731e-05	0.000330792
6963.669	6139.1943	8824.671999999999	1.02290165	51.39978409	1.00906837	0.14207446499999998	0.0158293196	-0.0436922874	0.0456602895	-0.04317205650000001	0.07545517	-0.023927983700000002	0.0207489925	-0.0568488709	-0.10267045609999999	0.006047138499999999	-0.0716668167	0.024227722099999998	0.0671908917	0.0671896245	0.0671875126	0.0671845559	0.0671807546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0148225	0.0224082	-0.00718198	-0.000231816	0.000344835	0.0
6946.9204	6136.0625	8806.035	0.99477446	49.98642349	0.99589092	0.11030776	0.0040863624	-0.0411224923	0.0185372172	0.0263626616	0.0061898539	0.0329687609	-0.006657668	-0.0442846657	0.024612367200000002	0.023323006400000002	-0.0043225857	-0.0202614569	0.0671875126	0.0671761085	0.0671571032	0.0671304988	0.0670962983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0176618	-0.0193827	0.0107348	0.0004734	9.48354e-05	0.0
6935.4478	6124.4224	8793.116	0.98138279	49.31350327	0.98832273	0.11348589	-0.0282479941	-0.051686932000000005	0.0089549503	0.0220203162	0.0180234458	0.0391989517	-0.0333871108	-0.049080982800000006	-0.0034237963	-0.0004517311	0.0827995994	0.0842125795	0.0671807546	0.0671490793	0.0670962983	0.0670224282	0.066927492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0144413	0.0508125	0.0155442	1.81838e-05	0.000344835	0.0
6957.441999999999	6127.735	8786.089	1.01989961	51.2489357	1.0026834	0.03944049499999999	-0.0437789528	-0.0324519313	0.0113114478	0.0458538206	0.0610968684	0.0219045417	-0.0550587866	-0.0337438854	-0.011792928400000001	0.030253819900000003	0.0061722478	0.0174381487	0.06717061790000001	0.0671085423	0.0670051254	0.0668604309	0.0666745479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0201859	0.0433202	0.00579097	0.00017718399999999996	0.00042596	-8.88821e-05
6936.6265	6124.7563	8774.788	1.02760744	51.63624573	1.01162148	0.133303365	-0.07028713269999999	-0.0094369364	-0.0535474141	0.008718966	0.0167673414	0.017632066499999998	-0.0585857449	-0.0153029752	0.0178864197	0.0159307969	0.0217731287	-0.0006236223	0.0671571032	0.0670545056	0.0668836256	0.0666446373	0.066337784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0281998	-0.0140933	0.0129012	0.0008556329999999998	9.48354e-05	0.000116859
6923.9243	6133.8	8776.334	1.01484442	50.99491882	1.00716341	0.13715255500000004	-0.0724981851	0.0092610649	-0.0622648536	-0.057576666299999996	-0.0181203073	0.0037355867999999998	-0.054180322999999996	0.0059826702	0.0221521285	-0.0211132627	-0.0021448276	0.025103416899999998	0.0671402111	0.0669869801	0.06673185400000001	0.066375221	0.0659176235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171479	0.0450006	0.00355883	-4.36311e-05	0.00030366	0.000162058
6974.366	6135.0835	8786.534	1.05101287	52.81234741	1.02345419	0.145224925	-0.0480734536	0.0692687783	0.09357970289999999	-0.0474333306	-0.0583035367	-0.1175065992	-0.0404513069	0.0741019441	-0.1068930085	-0.08592495720000001	0.011907356000000001	-0.0680698257	0.0671199425	0.06690597940000001	0.0665498794	0.0660523989	0.0654145948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028196	-0.023221	0.0105341	0.000802503	0.00013225300000000004	0.0
6941.3276	6117.865	8789.146999999999	1.02686751	51.59906769	1.00694895	0.03974761499999999	0.0119083685	0.0563845556	0.0079792478	0.060083025199999994	-0.0496220067	-0.0560991141	0.0009784778	0.0743690984	0.060475819800000004	-0.0341469841	0.0816169893	-0.0011823423	0.0670962983	0.06681151980000001	0.066337784	0.0656764306	0.0648293301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0281765	-0.0200043	0.007527309999999999	0.000477416	0.000398954	7.830449999999998e-05
6942.6669999999995	6130.5054	8793.569	0.99843603	50.17041397	0.99376231	0.067826755	0.0476384058	0.035208307599999995	-0.039089824	0.0252175958	0.048696173899999994	-0.0304925323	0.0516686897	0.0325643267	-0.0106966724	0.053783114800000004	0.0309255606	0.1020062207	0.0670692798	0.0667036203	0.0660956638	0.0652476187	0.0641625653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0207666	-0.0380106	-0.008097669999999998	0.000248361	0.000635098	0.000148817
6916.173000000001	6138.9653	8782.649	0.99315256	49.90492249	0.9922815	0.02087005	0.05612870650000001	0.0143648715	-0.07134389320000001	-0.024936567799999997	0.0356855462	0.030617879100000002	0.0531252569	0.011472081100000002	0.0421225358	0.0132013376	-0.0421603371	-0.007540274699999999	0.0670388883	0.0665823026	0.0658236285	0.06476630809999999	0.0634151387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0152921	-0.0380152	-0.00810092	0.000223123	0.000436271	0.000232506
6917.6357	6137.666	8779.384	1.00545466	50.52309036	1.00576723	0.11177436	0.0668833279	-0.0122826535	-0.0293727482	-0.05508614	0.10129772990000001	-0.0149628498	0.0794618532	-0.0180615349	-0.012962216100000002	-0.021671472999999997	-0.0894782785	0.0012437452	0.0670051254	0.06644759110000001	0.0655218011	0.0642328862	0.0625879897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0137199	-0.00180282	-0.0195362	-0.000346488	0.000635098	0.000715158
6927.1587	6142.102	8771.114	1.00576746	50.53881073	0.99978495	0.11588105000000003	0.050000378899999996	-0.039786324500000005	-0.018663419599999998	-0.0621563437	-0.021255766699999998	0.047231099400000004	0.0692927939	-0.005779461600000001	0.02312328	0.0457242469	-0.0150924795	-0.028391034	0.0669679926	0.0662995129	0.0651903183	0.0636477822	0.0616821583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013906300000000003	-0.0380155	0.00500687	0.000201112	0.000814774	0.000343656
