CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	X	Y	Z	RotX	RotY	RotZ
6779.52	6678.916	9518.336	n/a	n/a	n/a	n/a	-0.0079954712	0.0186805976	-0.065878164	0.04746250849999999	-0.0184362249	-0.063893507	0.0053688129000000005	-0.06936065	0.1065592407	-0.0006667796	0.0628766199	-0.0392377721	0.06644515	0.0664439516	0.0664419543	0.06643915809999999	0.066435563	0.0664311692	-0.0331298	-0.00714292	-0.0122544	-0.00231498	-9.44004e-05	-0.00187901
6753.932	6714.2	9568.614	2.01374125	103.76112366	1.76789391	0.9306144500000002	-0.0011600341000000001	0.0954987256	0.0487939866	-0.1681856533	-0.16087121140000002	-0.1015924335	-0.0333316049	0.0786056757	0.12386809230000001	0.0400962426	-0.0036913578000000004	-0.2496468989	0.0664419543	0.0664311692	0.0664131953	0.0663880347	0.0663556899	0.0663161646	0.0499721	-0.258242	-0.107111	0.00304581	0.00243539	0.000261547
6747.999	6733.4614	9626.964	2.42857552	125.13610077	2.11386156	1.39899395	0.0217578828	0.1777876598	0.15551111039999999	-0.0175110679	0.030660382000000003	0.0021869272	-0.0657872231	0.25594647730000003	0.16003884699999998	-0.0718260938	0.0148055021	0.0111057795	0.066435563	0.06640560690000001	0.0663556899	0.0662858273	0.06619603980000001	0.0660863546	0.0328822	-0.652124	-0.53355	0.013011600000000003	0.00297029	-0.000469424
6573.717	6712.6553	9556.959	1.77162087	91.28549957	1.59113383	1.0612779	-0.035284155	0.10911750640000001	0.12388008689999999	-0.0027519755	0.0500960351	-0.0299437523	-0.086859592	0.16906928640000002	0.0082126022	-0.057182030300000006	0.0025992627	0.0163646684	0.0664259766	0.0663672696	0.066269463	0.0661326144	0.0659568046	0.0657421369	-0.024961	-0.44204	-0.246598	0.00583492	0.000271707	-0.000722135
6539.943	6692.215	9502.469000000001	1.12100303	57.76140976	1.08315504	0.23060695	-0.0357158343	0.0955412708	0.10538122009999999	0.0399191536	0.0149682372	-0.0396358346	-0.0672564169	0.1373935597	-0.0489786505	-0.0546701158	0.0064210863	0.030953658199999998	0.0664131953	0.0663161646	0.0661545517	0.0659285141	0.0656382718	0.0652841075	-0.0188749	-0.358555	-0.215775	0.00405081	0.000136695	-0.0010072700000000002
6538.2803	6670.308000000001	9471.765	1.04143	53.6612854	1.02955699	0.22617829000000006	-0.0408907767	0.0833682228	0.0725061357	0.0303971626	-0.0476647925	0.0061287422	-0.051558504500000005	0.0868620017	-0.0768082817	-0.014282438500000001	-0.0132341156	0.0088764095	0.06639722	0.0662523019	0.066011006	0.06567368330000001	0.0652408245	0.06471305940000001	-0.0135186	-0.225242	-0.193037	0.00286782	7.09612e-05	-0.000960574
6547.0996	6666.274	9443.985999999999	0.98811889	50.9143486	0.98897356	0.06069019000000001	-0.0477613046	0.086053411	0.079226472	-0.0324472365	-0.0348045889	0.040604532799999996	-0.046458735099999995	0.1049941813	-0.046002540599999996	0.0142002977	-0.0566897521	0.0431681335	0.0663780512	0.0661756936	0.06583888780000001	0.06536831809999999	0.0647649406	0.064029981	-0.0037071	-0.205985	-0.204815	0.00277497	0.000143624	-0.000729213
6554.368	6682.4175	9438.325	1.00332391	51.69781113	0.99231756	0.08870546999999998	-0.0517128671	0.0638622916	0.0700477858	-0.0111934499	0.0476519775	0.0323193533	-0.0557538576	0.08011779690000001	-0.0573084088	-0.030673647000000002	-0.0415057137	0.07539671440000001	0.0663556899	0.0660863546	0.0656382718	0.0650126536	0.0642111921	0.063236055	-0.00940717	-0.200613	-0.172654	0.00244844	-0.000436735	-0.0007266539999999998
6562.5195	6688.973000000001	9451.89	1.02518737	52.82435989	1.01515543	0.20055937	-0.038588284900000006	0.0332914654	0.0489392781	0.0329995052	0.0301291275	-0.0158442153	-0.0448616516	0.059536835499999996	-0.0399459769	-0.031174854300000002	-0.0080423107	0.0373691251	0.06633013730000001	0.06598430200000001	0.0654092447	0.0646069633	0.0635802447	0.0623326557	-0.00504565	-0.113978	-0.124441	0.0014096	-0.000436735	-0.000914811
6564.328	6678.630999999999	9444.761	0.98277688	50.63909531	0.98649371	0.06825622	-0.057667910499999996	0.0511225774	0.059135803499999993	0.0192497461	-0.04917393849999999	-0.0052580799	-0.0504978526	0.0398009033	-0.0176883069	0.0087944192	-0.030852280899999997	0.00038158269999999996	0.0663013945	0.0658695554	0.0651519057	0.0641515595	0.06287285719999999	0.0613213471	-0.00938122	-0.121607	-0.157809	0.00148531	-0.00017588599999999996	-0.000792897
6563.658	6676.3486	9433.894	0.96993738	49.97751999	0.97406042	0.07946917499999998	-0.0564009625	0.061118689500000004	0.0646116436	-0.030382122400000003	-0.0404218172	0.0486487566	-0.0494560047	0.0521840592	-0.057122632300000004	-0.022925434100000003	-0.03521742	0.0314219072	0.066269463	0.0657421369	0.0648663662	0.0636467925	0.062089879800000004	0.060203880099999996	0.00507636	-0.149576	-0.146875	0.0017936	3.24799e-05	-0.000798413
6564.359	6681.61	9427.312	0.98984784	51.00343704	0.99006432	0.12663428799999998	-0.0494249436	0.024405568500000002	0.051389433600000006	-0.025471686099999998	0.0343562496	0.0585035595	-0.043234507199999994	0.027701432999999998	-0.050546769000000005	-0.0322298514	-0.0391078252	0.0700975408	0.0662343442	0.0656020711	0.0645527497	0.0630930508	0.0612322541	0.058982189000000004	0.000926297	-0.118302	-0.105176	0.00113007	-8.18276e-05	-0.0010108
6543.121999999999	6685.066999999999	9412.796999999999	1.0045259	51.75974655	1.00038409	0.09879832200000002	-0.0634315756	0.0051448994	0.0608493626	-0.035182759300000005	0.019375658	-0.024550865699999997	-0.042173113600000006	0.0128545442	-0.0325128863	0.0298397309	-0.0697416243	-0.0223663811	0.06619603980000001	0.06544938480000001	0.0642111921	0.0624907605	0.060301010999999995	0.057658388899999996	-0.00314516	-0.0925304	-0.12950500000000004	0.000533669	9.555070000000003e-05	-0.000892054
6541.2617	6682.7515	9395.957	0.99661452	51.35210037	0.99211448	0.108477185	-0.06519608589999999	-0.0061791614	0.0948123407	0.015714135	-0.0025108757	-0.038982497000000005	-0.0466068379	0.027106153100000002	-0.0515129094	-0.0231329441	-0.0252872075	-0.0106197564	0.0661545517	0.0652841075	0.063841841	0.061840385	0.059297270199999995	0.056234771600000004	-0.00120277	-0.151644	-0.125635	0.00117733	6.24668e-05	-0.000697775
6545.2134	6701.525	9402.189	1.00987363	52.03529739	1.0040077	0.15419461999999998	-0.04475991730000001	-0.0429175865	0.09003322039999999	0.0378261495	-0.0361745956	0.0046954356	-0.0448172704	0.0090259417	-0.058413440999999997	-0.059561841399999996	0.049678266500000005	-0.044625954	0.06610988200000001	0.065106271	0.06344485650000001	0.061142424800000005	0.0582222384	0.054713801500000006	-0.0101827	-0.118628	-0.0682314	0.000954114	-0.000566914	-0.00045447
6532.6157	6677.0366	9388.662	1.05412316	54.31532288	1.0399406	0.239468665	-0.0387567495	-0.0603785282	0.0385631343	-0.026836549100000003	-0.0413795568	0.0285699548	-0.0177114329	-0.0041155516	-0.0678484091	-0.0328892395	-0.0234978775	-0.0579003998	0.0660620326	0.0649159094	0.0630204104	0.06039741690000001	0.0570772081	0.0530981118	-0.0148627	0.000831965	-0.0338034	-0.000120586	-0.000436735	-0.000867605
6519.8975	6658.4907	9349.569	1.00455213	51.76110077	0.99812829	0.13956241500000002	-0.0393171562	-0.053739105999999995	0.0659227214	-0.0412376423	0.018729077900000002	0.0253046443	-0.011030814299999999	-0.0024352946	-0.0624700991	0.0058307154	-0.0618199977	-0.0198041649	0.066011006	0.06471305940000001	0.0625686863	0.0596059345	0.0558635559	0.0513904995	-0.0176632	-0.07235619999999998	-0.0411434	0.00016935299999999996	-0.000820317	-0.000416451
6505.764	6661.7866	9341.318000000001	0.98844558	50.93118286	0.98473603	0.038296100000000007	-0.0332243275	-0.0717547442	0.0702778442	-0.0107646253	0.046418622300000004	0.0208110936	-0.006988524	-0.0029491956	-0.0840320067	-0.0324279311	-0.036957969900000005	-0.0179469904	0.0659568046	0.06449776	0.062089879800000004	0.058768586799999994	0.054582741	0.0495939208	-0.0173421	-0.0760794	-0.021418	0.00041709	-0.0008009309999999998	-0.000393046
6511.918000000001	6666.8906	9331.024	1.02767885	52.95273972	1.01933384	0.26611429999999997	-0.023488662900000002	-0.10031122640000001	0.0560393542	0.0164120198	0.038167753799999996	-0.0301360235	0.0010167995	-0.0246241252	-0.0703554059	-0.04847255	-0.0175581605	-0.0623107937	0.0658994309	0.0642700526	0.0615841982	0.0578860181	0.0532363032	0.047711485899999996	-0.0123385	0.07747719999999998	0.0185062	-0.00048065	-0.0005446	-0.000194519
6501.6694	6650.6943	9324.683	0.98922426	50.97130585	0.98508859	0.0672296	-0.0315502141	-0.0969516888	0.0554085511	0.0078085507	-0.0111732443	-0.0642248051	0.011869968500000001	-0.0195344361	-0.0675399624	-0.039860374	-0.0410078145	-0.061990566799999994	0.06583888780000001	0.064029981	0.0610518603	0.0569589074	0.0518258614	0.0457464537	-0.0267922	0.0732648	-0.0169189	-0.000562193	-0.000436735	-0.000267879
6485.7773	6652.3027	9335.794	0.97850865	50.41916656	0.97926486	0.1093211	-0.0290051375	-0.09038759910000001	0.0540757962	0.0208079929	-0.0613267128	-0.00177331	-0.000953838	-0.0086471623	-0.0819685557	-0.046385657999999996	-0.017864160900000002	-0.103689835	0.0657751782	0.0637775914	0.0604930965	0.0559879682	0.0503531111	0.043702225899999995	-0.0216646	0.0281881	0.0111569	-0.000723339	-0.000686736	-0.000477552
