CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	NonSteadyStateOutlier00	X	Y	Z	RotX	RotY	RotZ
6657.3354	6431.63	9454.56	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.32016e-05	0.0
6630.746	6428.325	9431.367	1.02486026	51.2024231	1.01376033	0.10736906999999998	0.0062779804	-0.0295569729	0.097617256	-0.050339807699999996	-0.0737997862	0.0773891872	0.0491140079	-0.021185777000000003	0.029380179	-0.0757495805	-0.0230395016	0.0286912193	0.0665186088	0.0665174038	0.0665153954	0.0665125838	0.0665089688	0.06650455059999999	0.0	0.0173506	0.0285171	0.0087342	-0.000545905	0.000414425	-0.00014821499999999996
6570.6045	6418.1216	9426.937	1.0051415	50.21726608	1.00089622	0.059529715	-0.0007537662	-0.0422042208	0.09478831880000001	-0.017228618	-0.0560166257	0.0231993913	0.0173708809	-0.0513018619	0.0319452436	-0.07697553929999999	-0.0975716749	-0.0030698239	0.0665153954	0.06650455059999999	0.06648647719999999	0.0664611772	0.0664286533	0.0663889091	0.0	0.0117096	0.0420419	-0.012833700000000003	-0.0008239709999999998	0.000417734	-5.36697e-05
6553.9473	6438.705	9427.122	0.99535263	49.72820663	0.99586958	0.13260251	-0.0148585802	-0.0283633656	0.074854663	0.009835159100000001	-0.0328774923	0.018962885	0.0761156528	-0.0995811016	-0.0104263271	-0.1383352608	-0.0115569122	-0.0425859027	0.0665089688	0.0664788467	0.0664286533	0.0663584038	0.0662681193	0.0661578271	0.0	0.0145729	-0.016424999999999995	0.00205799	-8.338489999999998e-05	0.000402993	-0.000425955
6522.156999999999	6435.482	9428.206	1.01664865	50.79216766	1.00500345	0.068644965	-0.034701735299999995	-0.0552418751	0.0923567242	0.007617191	-0.0017603489000000002	0.0130258795	0.0468134345	-0.08032133400000001	0.0197545099	-0.1098040588	-0.0391329988	0.0397566734	0.0664993292	0.0664402971	0.0663419489	0.0662043429	0.0660275606	0.0658117066	0.0	0.0179461	0.0101016	0.0167526	-0.000441554	0.000323323	-0.000382783
6495.721	6426.298000000001	9426.765	1.05162501	52.53959656	1.01802433	0.07101400500000002	-0.062318226500000004	-0.07643492889999999	0.039198164199999996	0.0061923756	0.0810492093	-0.0367260161	-0.0370204138	-0.0527738691	-0.036419752	-0.0542004892	0.030103503599999998	0.061311888499999995	0.06648647719999999	0.0663889091	0.0662264016	0.0659991137	0.0657072678	0.0653511492	0.0	0.0169639	0.0277266	-0.00997685	-0.000545905	0.000437415	-8.76789e-05
6489.8066	6423.9775	9411.562	1.0394212	51.92988968	1.01017654	0.036938305	-0.061425786600000004	-0.0479986424	-0.012373426699999999	0.0451666984	0.0192685062	-0.0198957008	-0.0616771512	-0.09045777949999999	0.014590353799999999	-0.0330909923	-0.0042954114	0.0189418358	0.0664704133	0.0663246928	0.0660820618	0.0657428748	0.0653076276	0.0647769559	0.0	0.0170766	0.0250309	-0.0215769	-0.000633301	0.000397124	-0.000410589
6475.6206	6428.8223	9404.993	1.01241493	50.58064651	0.9982692	0.05039602857999999	-0.0676604073	-0.0098510592	-0.0365276804	-0.008612043199999999	-0.0325003357	-0.0319476084	-0.053283866	-0.014110935600000001	0.0074395285	-0.0666375231	0.0801156662	-0.0737162808	0.0664511384	0.0662476605	0.0659089921	0.06543582419999999	0.0648291226	0.0640901252	0.0	0.020953	0.0162562	-9.72142e-06	-0.000386987	0.000401933	-0.000338157
6455.922	6422.593000000001	9397.044	0.99614418	49.7677536	0.98613995	0.03884552302	-0.0679981909	0.0148397209	-0.0290784178	-0.023271213	-0.0447582567	-0.028344489	-0.0773154381	0.0490901235	0.0080431472	-0.100061846	-0.013941188200000001	-0.0514653692	0.0664286533	0.0661578271	0.0657072678	0.0650781993	0.0642723306	0.0632918512	0.0	0.0175334	0.0377228	2.12016e-05	-0.000545905	0.000303197	-0.000317243
6450.1646	6429.062	9406.141	0.98587441	49.254673	0.98756427	0.0547375766	-0.0413086467	0.0308962998	-0.0415470032	0.0096423437	-0.0363077647	0.017637071299999998	-0.041262528300000004	0.04730104139999999	-0.0111062996	-0.009621551899999999	0.0591172758	-0.0012157098	0.0664029592	0.0660552101	0.0654769766	0.0646702763	0.0636379241	0.0623835221	0.0	0.0177111	0.03342	-0.0271539	-0.000686777	0.000378344	-7.16225e-05
