CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	X	Y	Z	RotX	RotY	RotZ
6112.3643	6488.8477	8891.879	n/a	n/a	n/a	n/a	-0.0008244883000000001	0.0165736332	-0.024328347	0.0324114874	-0.0398464866	0.0323964657	-0.006772590500000001	0.012683946399999998	-0.031476013500000004	0.0010599274000000001	-0.0279444865	0.056966318499999995	0.06644515	0.0664439516	0.0664419543	0.06643915809999999	0.066435563	0.0664311692	0.0517021	-0.167215	-0.0299635	-6.22645e-05	0.000485061	8.566899999999998e-05
6063.132	6488.573	8874.163	1.03478861	52.07812881	1.0131067	0.03381847	-0.0012801789	0.05213151059999999	0.033157705	-0.017644840800000002	0.0478142122	0.0057526013	0.0072835879	0.034460615	-0.0352169369	0.0342709563	0.014858553100000001	-0.0824056554	0.0664419543	0.0664311692	0.0664131953	0.0663880347	0.0663556899	0.0663161646	0.0603727	-0.16504	-0.0102882	-9.43814e-05	0.000485061	5.18345e-05
6071.808000000001	6486.3223	8883.313	1.05382156	53.03600693	1.0307014	0.16158209	-0.0316084598	0.0392140134	-0.0545498482	0.0451441266	-0.0334635161	-0.031684439700000004	-0.010521946899999999	-0.0385683739	0.063336756	0.0018549503	0.01319029	0.0560942815	0.066435563	0.06640560690000001	0.0663556899	0.0662858273	0.06619603980000001	0.0660863546	0.039266	-0.0728503	-0.008409329999999998	-0.00036987	0.00106747	-1.84043e-05
6023.1567	6489.285	8882.024	1.04319823	52.50136566	1.02302539	0.152638755	-0.0194661766	0.040533699	0.0470026831	-0.026330411	0.0413525735	-0.0127753048	0.0041999607	0.0003104268	-0.0376960116	-0.014168435600000001	0.0273418648	-0.0635175172	0.0664259766	0.0663672696	0.066269463	0.0661326144	0.0659568046	0.0657421369	0.0292804	-0.152163	-0.00832706	0.000208085	0.000517998	-0.000156141
6045.3438	6481.307	8890.232	1.01547801	51.10628128	1.00295758	0.04192502	-0.0390012128	0.029316102599999998	-0.0702534753	-0.0093092749	-0.0087064375	-0.0239636705	0.0101387688	0.0410646406	-0.023187056400000003	0.0197810213	-0.0047271474	0.0148920974	0.0664131953	0.0663161646	0.0661545517	0.0659285141	0.0656382718	0.0652841075	0.0448507	-0.137702	-0.00831184	0.000279433	0.000517998	-0.000322363
6034.2334	6479.3857	8893.686	1.03079915	51.87735367	1.01998246	0.14873576	-0.0370273048	0.014567539	0.0375419548	-0.0114178277	-0.0506106574	-0.005382270400000001	-0.0001445928	-0.010312342	0.05823379150000001	0.0214232235	-0.0090714304	-0.0089668078	0.06639722	0.0662523019	0.066011006	0.06567368330000001	0.0652408245	0.06471305940000001	0.0292806	-0.0683402	-0.0160681	-0.000401758	0.000932798	-0.000347324
5998.8926	6476.823	8874.42	1.04655039	52.67007065	1.02357042	0.13445131999999999	-0.0123853455	-0.0183540689	0.024488263700000002	-0.0623689988	0.028395797400000002	0.0359124702	0.014537559399999999	0.0162360015	-0.028889695099999998	0.0088098265	0.0068147555	-0.0322457141	0.0663780512	0.0661756936	0.06583888780000001	0.06536831809999999	0.0647649406	0.064029981	0.0254015	-0.14997	-0.00825953	0.000122175	0.000661699	-0.000374969
6010.01	6470.996999999999	8880.325	1.0416199	52.42193222	1.01558483	0.09775287	-0.0181076731	0.0368109946	-0.057937417699999993	0.0238482709	-0.0184073996	-0.0191718956	0.00733786	-0.022858537400000004	0.0399268689	0.025767449900000003	-0.0106268409	0.022530611800000003	0.0663556899	0.0660863546	0.0656382718	0.0650126536	0.0642111921	0.063236055	0.0370788	-0.0939548	-0.0139252	-0.000295492	0.000681243	-0.000324286
6002.6978	6475.263000000001	8892.952	1.02550459	51.61088943	1.00949311	0.0788875	-0.0074195061	0.0385701219	0.07252533230000001	-0.027377827799999997	-0.0035005913	-0.0001995394	0.0066144927	0.0029089065000000003	-0.010967275700000001	0.0297050435	0.0006521259999999999	-0.0519005834	0.06633013730000001	0.06598430200000001	0.0654092447	0.0646069633	0.0635802447	0.0623326557	0.0293214	-0.135188	-0.0170764	-0.00011071500000000003	0.000767998	-0.000587668
5999.206	6477.839	8897.261	1.03160679	51.91799927	1.01304722	0.06974925000000001	-0.0245987569	0.009502346	-0.0704631271	-0.0303275123	0.0388902571	0.0062748153	0.0155935829	0.032437516	-0.0451481291	0.010125495600000001	0.0555664996	-0.0082101482	0.0663013945	0.0658695554	0.0651519057	0.0641515595	0.06287285719999999	0.0613213471	0.0261926	-0.14544	-0.0385085	0.00015774	0.000517998	-0.000407396
