CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	NonSteadyStateOutlier00	X	Y	Z	RotX	RotY	RotZ
7663.993	7200.249	9598.269	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.0	-0.000107227
7562.6377	7195.7944	9569.381	1.00893402	46.68138123	1.0041461	0.10041536000000001	0.0792889249	-0.01329729	0.0646587857	-0.030429219100000002	0.0975773635	-0.0268226461	-0.0508811768	0.05172904	-0.0543347897	-0.0543415393	0.0573092338	-0.0513047555	0.0665186088	0.0665174038	0.0665153954	0.0665125838	0.0665089688	0.06650455059999999	0.0	-0.0173656	-0.0317816	-0.00398676	0.000472513	-0.000365888	0.0
7596.6807	7197.8174	9559.811	1.16245115	53.78432083	1.06007195	0.18996836	0.0314802373	-0.0771893612	0.0659960406	-0.083417344	-0.0555061137	-0.024706875899999998	0.020306590700000002	0.066271661	-0.0363787476	-0.0645093415	-0.0908422767	-0.1368339871	0.0665153954	0.06650455059999999	0.06648647719999999	0.0664611772	0.0664286533	0.0663889091	0.0	-0.0205851	0.0602211	0.0179572	-0.000656393	-0.000443026	0.00025
7560.331	7190.460999999999	9542.978000000001	1.12751365	52.16782761	1.05052197	0.1498195	-0.034888185499999995	-0.0699663485	0.038541415499999995	0.0038216334	-0.047803218	-0.0913211893	0.048646391500000004	-0.0019256962	-0.022419001	-0.003978085399999999	-0.010104631999999999	-0.046602533499999994	0.0665089688	0.0664788467	0.0664286533	0.0663584038	0.0662681193	0.0661578271	0.0	0.008459549999999998	0.0796685	0.0423406	-0.0009061230000000002	0.000762731	0.000333394
7523.411999999999	7201.018	9519.187	1.07507181	49.74145126	1.02384889	0.09768095	-0.0647401516	-0.0100311192	-0.0404516355	-0.0028577753999999996	0.0425768528	-0.0894111185	0.045281000999999994	-0.043093973099999995	-0.0166924507	-0.0127543411	0.0060708953	0.1067691458	0.0664993292	0.0664402971	0.0663419489	0.0662043429	0.0660275606	0.0658117066	0.0	0.0209893	0.0452656	0.0266622	-0.000693716	0.000775566	-0.00014276200000000003
7520.6777	7187.556	9516.242	1.14913297	53.16811371	1.05811059	0.15023165	-0.0266706713	0.0619023319	-0.006697536	-0.0689292828	-0.0286866103	-0.0320068608	-0.0336642112	-0.0650161873	0.0905815683	-0.0550053117	-0.0194737871	-0.062152203200000006	0.06648647719999999	0.0663889091	0.0662264016	0.0659991137	0.0657072678	0.0653511492	0.0	-0.0227513	0.0654822	0.0320645	-0.000651389	-0.00032241	0.000334378
7461.4697	7197.52	9495.38	1.11119938	51.41300201	1.0414294	0.09710683	0.0375736098	0.0621644253	0.0179140029	0.0328035358	-0.051001938	-0.008387350200000001	-0.0815716695	-0.0344539799	-0.00320823	0.021216694900000003	0.0118210744	-0.0044546003	0.0664704133	0.0663246928	0.0660820618	0.0657428748	0.0653076276	0.0647769559	0.0	0.00282128	0.0605076	0.0509764	-0.000331505	0.000220565	0.000424474
7422.6846	7203.535	9494.95	1.05462003	48.79518509	1.01534557	0.18959918	0.0756434591	0.0402899789	0.0167958499	0.0590387405	0.0143340702	0.009725925600000001	-0.1008781802	-0.0038834012	0.048878150599999996	0.0147620534	0.0024680175	0.0480548573	0.0664511384	0.0662476605	0.0659089921	0.06543582419999999	0.0648291226	0.0640901252	0.0	-0.0115402	-0.0217934	0.0328796	0.000696129	-5.2733e-05	0.00062034
7433.6235	7200.0205	9499.992	1.08461726	50.18309784	1.03795314	0.16783452	0.0817841874	0.0084573535	0.0162594444	0.0179647819	0.0728819054	0.0568974509	-0.0674408227	0.0781082448	0.0098493381	-0.0439956918	0.048423039	0.0602321024	0.0664286533	0.0661578271	0.0657072678	0.0650781993	0.0642723306	0.0632918512	0.0	-0.00195108	0.061003	0.0398331	-0.000302443	0.000138184	0.000439919
7402.4043	7189.7725	9506.823	1.0272882	47.53059387	1.01794708	0.027730548	0.0737645363	-0.010506959299999999	0.050633445	-0.030915230699999997	0.056527010700000005	-0.0195390984	-0.0497915105	0.06634691179999999	0.0227794531	-0.054686558499999996	0.0098993999	0.09527369699999999	0.0664029592	0.0660552101	0.0654769766	0.0646702763	0.0636379241	0.0623835221	0.0	0.000464818	0.0544284	0.0379103	-0.000261469	0.00019854	0.000674934
