CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	NonSteadyStateOutlier03	NonSteadyStateOutlier04	NonSteadyStateOutlier05	X	Y	Z	RotX	RotY	RotZ
6784.464	6931.736999999999	9620.868	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.022013	-0.0514432	-0.0289269	0.00035962	-0.000236292	0.000660011
6673.786999999999	6948.253000000001	9601.726	1.03593612	47.82632446	1.01781964	0.279653895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.0134476	0.0727923	0.0185622	-0.000220341	-6.43373e-05	-3.74472e-05
6629.486999999999	6929.3994	9574.206	1.06489038	49.16306305	1.0206821	0.175912629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.0185752	-0.045826	-0.00461484	0.000212242	-0.000166855	7.24588e-06
6607.081	6933.0654	9554.95	1.00385058	46.34502411	0.9776293	0.045431769000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.000554265	-0.0344641	0.0014613	0.000249531	-0.000166855	-0.000154921
6588.724	6936.84	9551.815999999999	1.02748382	47.43610382	0.98968172	0.16477311000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0130243	0.0500443	0.0147468	-0.000446164	-0.000416855	-1.04325e-05
6589.432	6932.6333	9540.799	1.03736103	47.8921051	0.99435967	0.196351155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00941264	-0.0429503	0.00655441	0.000142048	0.000304989	-0.000154921
6588.0605	6927.855	9532.613000000001	1.01401651	46.81435776	0.98529249	0.1922483	-0.073929895	0.0224788525	-0.0928901688	0.046385461600000004	-0.03910381	0.008770816800000001	0.0381953391	-0.0394788244	0.030499950699999997	-0.015103105700000001	-0.05021503	0.047312964299999996	0.0668895932	0.0668883542	0.0668862892	0.0668833982	0.0668796813	0.0	0.0	0.0	0.0	0.0	0.0	-0.02056	0.046406	0.0147365	-0.000292616	-0.000376767	2.34044e-05
6618.588000000001	6940.8457	9533.482	1.01304507	46.76950455	0.9822585	0.04063248	-0.024268768700000002	-0.041222450099999995	-0.0713292499	0.0977507076	0.0269258186	-0.0366185904	-0.0196623865	-0.0528681407	-0.014544091	-0.0271020357	0.06684678	0.0320465194	0.0668862892	0.06687513860000001	0.0668565555	0.0668305422	0.0667971015	0.0	0.0	0.0	0.0	0.0	0.0	-0.0242544	0.0386734	0.0147856	-0.000518664	-0.000472968	0.000284283
6571.319	6930.5146	9522.181999999999	1.00482428	46.3899765	0.97570521	0.07102396999999999	0.0396610952	-0.058173815700000006	-0.0657610357	0.0618553964	-0.012808441299999999	0.0765848516	-0.0398429802	-0.002886265	-0.0309814614	-0.0150795901	-0.0119461642	-0.07119287860000001	0.0668796813	0.0668487099	0.0667971015	0.066724872	0.0666320437	0.0	0.0	0.0	0.0	0.0	0.0	-0.0247542	0.00491802	-0.00158884	-0.00030472	-0.000392206	0.000397464
6584.978	6939.2	9517.518	0.99167335	45.7828331	0.97185081	0.09753257	0.0607373338	-0.0159308134	-0.0542095807	0.0854394885	-0.0975117368	-0.028399884	-0.040656814900000005	0.0474625421	-0.0154350479	0.0111029963	0.0418780213	0.0764117099	0.06686977	0.0668090734	0.06670795339999999	0.066566471	0.0663847118	0.0	0.0	0.0	0.0	0.0	0.0	-0.0241261	0.063512	0.0147335	-0.000220341	-0.000519557	0.000169431
