CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	NonSteadyStateOutlier00	NonSteadyStateOutlier01	X	Y	Z	RotX	RotY	RotZ
6808.0293	6452.2407	9983.533000000001	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0
6758.4194	6462.746	9957.904	1.13573229	53.61060333	1.04720795	0.092247495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0136327	-0.0183674	0.0244417	0.000538526	-9.94752e-05	7.811269999999998e-05
6673.228	6463.232	9934.011999999999	1.01018369	47.68426514	0.98810321	0.06369654500000001	0.0347355763	-0.0825927801	0.0315666042	-0.0430191209	-0.0483104954	0.0005061201999999999	-0.0199186226	0.0778183635	0.0364904042	-0.0420162188	0.0167672923	-0.0063864635	0.0665923119	0.06659110019999999	0.0665890807	0.0665862534	0.0665826184	0.0665781756	0.0	0.0	-0.0181909	0.00382674	0.0345593	0.000635243	-0.000358161	0.000259242
6623.7476	6463.559	9927.322	1.00637925	47.50467682	0.99260557	0.10480536	0.041247379199999996	-0.0817855525	-0.025549917000000002	-0.0304981671	-0.0163101914	0.0579823133	-0.0343030604	0.08524181369999999	-0.0530074332	-0.0149570849	0.053860297	-0.0235102604	0.0665890807	0.0665781756	0.0665600019	0.0665345614	0.066501857	0.0664618922	0.0	0.0	-0.0168176	0.0374929	0.0165633	-0.000218471	-0.000208153	0.000290918
6611.920999999999	6475.116	9913.766	1.00669515	47.51959229	0.98930311	0.0781504	0.050299131399999995	-0.0922829657	-0.0175783735	-0.0200584649	-0.024435969	0.0321130421	-0.0162931741	0.1078121358	-0.0051847285	0.033795830299999996	0.039933770699999996	-0.0098262711	0.0665826184	0.06655232900000001	0.066501857	0.0664312176	0.0663404322	0.0662295284	0.0	0.0	-0.0240541	0.0183332	0.0325651	0.000211533	-0.00027608	0.000508035
6582.543000000001	6463.3525	9899.87	1.00710857	47.53910446	0.98932177	0.05066835	0.0516227813	-0.0796318978	-0.0058369005000000005	-0.0784848364	-0.0136749581	0.0559694184	-0.018924096	0.08370775820000001	0.0030969402000000004	-0.000788235	0.0171299019	0.0209896332	0.0665729253	0.0665135654	0.0664146714	0.0662763021	0.0660985399	0.06588149019999999	0.0	0.0	-0.0258462	0.028662	0.0403187	0.000569629	-0.000436045	0.000410219
6584.821999999999	6457.9795	9905.202	1.01478362	47.90139389	1.00252712	0.10991285	0.0409180708	-0.0906271053	-0.0202640608	-0.06675356860000001	-0.0118024934	0.0321065625	-0.022359764	0.0707973362	-0.0608635698	-0.0158691165	0.0639916826	-0.0587932318	0.0665600019	0.0664618922	0.06629848320000001	0.0660699354	0.0657764733	0.0654183853	0.0	0.0	-0.0181709	0.0465578	0.0154755	-0.000425218	-0.000338597	0.000312543
6637.644	6459.813	9905.065	1.12296498	53.00793839	1.03875148	0.0933543	0.0575289975	-0.088426804	0.0109287529	0.0082864783	-0.0663995387	-0.1190951209	-0.0488739177	0.1063992257	-0.0036139045	0.006692516999999999	0.0280277118	0.0299357486	0.0665438488	0.0663973196	0.0661533431	0.06581227740000001	0.06537462320000001	0.0648410227	0.0	0.0	-0.0281336	0.0218014	0.0264647	0.000128432	-0.000542375	0.000508035
6617.4014	6456.885	9904.101	1.02855849	48.55161667	0.99259299	0.051841274999999985	0.0644596545	-0.0414573429	0.0635639045	0.0097150673	-0.054851863099999995	-0.1127808299	-0.0689818499	0.0419908201	0.0247060946	-0.029441938900000002	0.032148911	0.115268149	0.06652446690000001	0.06631986	0.0659793144	0.0655035283	0.06489347690000001	0.0641504106	0.0	0.0	-0.0281434	0.0328942	0.0521281	3.55855e-05	-0.000465254	0.000376497
6583.905	6457.3486	9916.34	0.99576312	47.00355911	0.98535842	0.073178475	0.0593518734	-0.026125834900000002	0.011358000900000002	0.048438430899999996	-0.0143732343	-0.0281464306	-0.049041677199999995	0.032355104100000004	-0.048165230700000006	-0.0028590079999999997	0.0002777568	0.0018954095000000002	0.066501857	0.0662295284	0.0657764733	0.0651439278	0.0643336182	0.0633477554	0.0	0.0	-0.02377	0.0471436	0.0266732	-0.000484283	-0.000439092	0.000340512
