CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	NonSteadyStateOutlier00	NonSteadyStateOutlier01	X	Y	Z	RotX	RotY	RotZ
7455.9688	6574.38	9378.245	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-1.86426e-06	1.83382e-06	-0.0192765	0.000304775	0.000310174	0.0
7328.184	6576.095	9334.44	1.04859471	51.827034	1.03515267	0.07041048308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00217528	-0.0136481	0.0109376	0.000175111	4.6846e-05	-9.43941e-05
7273.868	6561.0825	9304.668	0.98060662	48.46670914	0.99679804	0.106125725	-0.0013459438000000001	0.0313761323	-0.049721757699999994	-0.023341732400000002	0.073476532	-0.0389724952	-0.0549536673	0.0066250767	-0.0504773454	0.0402578549	-0.0009385608	0.0202912736	0.0665923119	0.06659110019999999	0.0665890807	0.0665862534	0.0665826184	0.0665781756	0.0	0.0	0.0135817	0.0321249	0.0195786	-0.00025	0.000333447	0.0
7236.868	6573.166	9287.138	0.99061662	48.9614563	1.00140047	0.11836545	0.0139514645	0.0280136888	-0.0512663154	0.0288218655	0.0688134582	-0.0504352844	-0.0479210095	-0.0206614698	0.0130983525	-0.0005430395	-0.0098996441	0.047027261699999996	0.0665890807	0.0665781756	0.0665600019	0.0665345614	0.066501857	0.0664618922	0.0	0.0	-0.0122623	0.0621092	0.0262683	-0.0007349719999999998	-0.00029853	0.0
7224.906	6557.7295	9275.163	1.03049958	50.93268204	1.02073038	0.035371900000000005	0.0158849779	0.0035981079	-0.0594990991	0.0528218619	0.0055794305	-0.0025789422	-0.018693555900000002	-0.06180824730000001	-0.0039455021000000005	0.038089865	-0.048214595199999995	-0.013324351699999999	0.0665826184	0.06655232900000001	0.066501857	0.0664312176	0.0663404322	0.0662295284	0.0	0.0	-0.0185809	0.0509132	0.0187393	-0.0007710819999999998	-0.000324781	0.000144205
7207.903	6568.3745	9278.7705	1.04605222	51.70137405	1.0244894	0.07497439999999998	0.0067029156000000005	-0.057238736	-0.0518644597	-0.0277415463	-0.0722004494	0.0951965015	0.0133091915	-0.0902996359	-0.0546889916	-0.0303359165	0.0086013033	-0.004769029	0.0665729253	0.0665135654	0.0664146714	0.0662763021	0.0660985399	0.06588149019999999	0.0	0.0	-0.02455	0.0367219	0.0389266	-0.00025	-0.000481901	0.000129873
7212.3477	6564.6113	9288.853000000001	1.00869036	49.8547554	0.99881977	0.023172399999999992	-0.0152131453	-0.0788593854	-0.0212659556	-0.0703907175	-0.0988056357	0.0484006058	0.0708707891	-0.09320899769999999	-0.07085091980000001	0.0397220645	0.0173688471	-0.0428505763	0.0665600019	0.0664618922	0.06629848320000001	0.0660699354	0.0657764733	0.0654183853	0.0	0.0	-0.0222112	0.0467304	0.0304554	-0.00025	-0.000508973	0.000109867
7233.016	6560.2314	9313.088	1.05403411	52.0958786	1.03121781	0.1095559	-0.0375068315	-0.07536750980000001	0.050187152900000004	-0.0506861444	-0.0758178311	-0.1080994458	0.0826802349	0.0105491344	0.0211529979	0.0382341301	-0.042289457300000007	-0.0412228106	0.0665438488	0.0663973196	0.0661533431	0.06581227740000001	0.06537462320000001	0.0648410227	0.0	0.0	-0.0185803	0.0777666	0.0316232	-0.00127594	-0.000155813	0.000205187
7253.17	6568.71	9330.657	1.07334065	53.05010986	1.03816056	0.08450271	-0.0792164081	-0.0006559764999999999	0.081560214	-0.0360906368	0.005840915	-0.0332243603	0.0594315181	0.06411872269999999	0.033121905099999994	0.055340638	-0.146472155	-0.0286026304	0.06652446690000001	0.06631986	0.0659793144	0.0655035283	0.06489347690000001	0.0641504106	0.0	0.0	0.00188476	0.0740051	0.0264591	-0.00130489	0.000540372	-0.000171919
7246.9619999999995	6585.7314	9350.278	1.10118699	54.42642212	1.05997396	0.191834155	-0.09477557	0.0203826785	0.0179542823	-0.1015550513	0.0378708757	0.0062217785	-0.0263628724	0.0405423702	-0.0965248838	-0.061433307300000004	-0.0064305377	-0.013858486699999999	0.066501857	0.0662295284	0.0657764733	0.0651439278	0.0643336182	0.0633477554	0.0	0.0	0.00906935	-0.0157642	0.0261861	5.34113e-05	0.000200108	-0.000365499
7229.392	6584.5923	9354.915	1.03760648	51.28394318	1.01960576	0.136874515	-0.10794287359999999	0.018015356	-0.0336382705	-0.0402999232	0.048696491200000004	-0.026332767000000003	-0.0443862895	-0.0077291708	-0.0913431099	-0.0237133468	-0.0167644199	-0.03846265	0.06647602030000001	0.0661263425	0.0655449082	0.0647337551	0.063695726	0.062434459000000005	0.0	0.0	-0.0157069	0.0239393	0.0346031	-0.000246666	-0.00027257	0.000141301
7234.090999999999	6583.6269999999995	9334.733	0.99553728	49.20466232	0.99891633	0.064266255	-0.0710987925	0.0194727423	-0.0490728663	0.0470285088	0.052933880700000005	-0.0172383308	-0.035348187999999996	-0.029905845099999998	-0.013160131200000001	-0.0386812955	-0.09966539810000001	0.0645720722	0.0664469579	0.06601032230000001	0.0652847203	0.0642733284	0.0629805741	0.061412116399999994	0.0	0.0	-0.0157194	0.0592812	0.0296932	-0.000666693	-0.00027257	8.12889e-05
7244.105	6576.3804	9317.38	1.04415429	51.60756683	1.02865446	0.081917055	-0.0099990701	0.0066349163	-0.0438422828	0.1284889368	0.0530359095	0.0382535975	-0.0350634792	-0.0461104487	0.0002220973	-0.06302636910000001	-0.09397908640000001	0.06603881980000001	0.0664146714	0.06588149019999999	0.0649960232	0.0637630054	0.062189029900000005	0.060282513200000006	0.0	0.0	-0.015688899999999995	0.081587	0.013242	-0.00132907	-0.000189777	0.00019871
7191.6904	6579.6826	9298.895	1.06017375	52.39933395	1.03821373	0.10684193	0.025623173399999997	-0.042596944299999995	-0.0452491642	0.06729984160000001	-0.016004737800000002	0.0901673915	0.008529419	-0.056014779199999996	-0.056380483700000004	-0.10272006789999999	-0.058902925999999994	0.1432311057	0.0663791623	0.0657398713	0.064678943	0.0632031821	0.0613220536	0.0590476225	0.0	0.0	-0.0217241	0.0357914	0.008708119999999998	-0.000486554	-0.000354252	0.000196156
7172.3926	6583.8037	9284.198	1.00348651	49.59755325	0.99825931	0.054490879999999985	0.0408077591	-0.0649235207	-0.0350340837	0.009752574699999999	-0.05070387	0.085371794	0.0518875702	-0.0614986013	-0.094009236	-0.046301824500000005	0.015403458200000001	0.1047647416	0.0663404322	0.065585493	0.0643336182	0.0625942932	0.0603806967	0.0577096009	0.0	0.0	-0.0240511	0.0414269	0.031435	-0.000332131	-0.00052257	4.2867e-05
7174.8184	6574.5723	9279.431999999999	1.00236177	49.54196548	1.00782716	0.0966269	0.0515323129	-0.0715451394	-0.0044751155	0.0176204893	-0.0348509055	0.0313766215	0.055078967199999995	-0.0411846881	-0.012162783100000001	-0.0369980517	-0.0177053098	0.036674757999999995	0.06629848320000001	0.0654183853	0.0639601995	0.0619368113	0.059366101	0.056270785499999997	0.0	0.0	-0.0148736	0.0754433	0.0374896	-0.00101503	-0.000370913	0.00015587899999999996
7228.329000000001	6573.88	9280.909	1.0574975	52.26705933	1.03751278	0.08502292999999998	0.04443713	-0.076280788	0.0421455126	0.0458383007	0.0290420165	-0.072475855	0.08546508779999999	0.0425927449	-0.0051084995000000005	-0.058122196900000006	-0.0359643346	-0.0117325126	0.0662533171	0.0652385807	0.0635588499	0.0612312469	0.058279497300000004	0.0547336892	0.0	0.0	-0.0224603	0.0493538	0.00129237	-0.000881541	-0.00027257	0.000227037
7185.1759999999995	6574.99	9277.293	1.06105423	52.44285202	1.02924192	0.08489183	0.0357623893	-0.0241342833	0.0839747889	-0.0158804691	0.024122247799999996	-0.0451374097	0.0859443977	0.0655719012	-0.0411926899	0.0328636109	-0.035633215499999996	0.0054259115	0.0662049363	0.065046114	0.0631297449	0.0604781476	0.057122203499999996	0.053100996799999994	0.0	0.0	-0.0198734	0.0312098	0.0240008	-0.000238647	-0.000423013	0.000191324
7190.7246	6567.5996	9280.117	1.02789891	50.804142	1.01091695	0.054882	0.0358088835	0.0287074904	0.057150853200000004	-0.031826826	0.0267810034	0.058636969500000004	-0.002057527	0.060572598	-0.0062516727000000005	0.051485023399999996	0.012177903200000001	0.041756118599999996	0.0661533431	0.0648410227	0.0626730718	0.0596780983	0.0558956233	0.0513755597	0.0	0.0	-0.014338600000000003	0.0558186	0.0387241	-0.000302793	-0.000352263	0.00012591800000000004
7200.731	6560.4927	9289.591	1.05319679	52.05449295	1.03413892	0.11408607	0.0277768833	0.0586296454	0.022558308500000002	-0.0094483855	0.0668369112	0.0203184175	-0.049404034299999997	0.011559018300000001	0.069797103	0.0491786771	-0.0389070512	0.0723281301	0.0660985399	0.0646233464	0.062189029900000005	0.0588317198	0.0546012445	0.0495603916	0.0	0.0	-0.0114016	0.0927663	0.0512275	-0.00124962	-0.000112299	7.87496e-05
7188.709	6574.695	9279.3545	1.09097826	53.92185593	1.06418002	0.211178455	0.0323535146	0.0195665539	-0.043376137	0.082039609	0.0087816551	-0.0223877039	-0.0290894476	-0.0358094266	0.014582587	-0.0114135795	-0.0222030891	0.0413287588	0.0660405294	0.0643931275	0.061677830700000005	0.057939669400000005	0.053240637199999996	0.0476586629	0.0	0.0	-0.0206157	0.0248051	0.00885254	3.30133e-05	-0.00042425	-0.00015923
7196.678000000001	6578.2390000000005	9274.245	1.05128431	51.95997238	1.03022122	0.105304355	0.025383454	-0.046819403499999995	-0.0778432407	-0.0037467845	-0.0828804752	0.0794068587	0.0032307165999999996	-0.0650096421	-0.0184416705	-0.0123439468	0.0017250645	-0.04423050110000001	0.0659793144	0.0641504106	0.061139697400000005	0.057002639400000006	0.0518154517	0.045673695	0.0	0.0	-0.0205551	-0.00299391	0.027399	0.0007554159999999999	-0.000363018	0.000235101
7165.4473	6557.644	9275.817	1.02847958	50.83283997	1.02078295	0.15754776	0.050032085899999995	-0.067566344	-0.011915912399999999	-0.0375378601	-0.0912480881	0.0266915638	0.0775920159	-0.0655624157	0.0158463024	0.0329005829	3.2127e-05	-0.0244604302	0.065914898	0.0638952429	0.060574865	0.0560213574	0.0503274166	0.0436089548	0.0	0.0	-0.0205502	0.0599262	0.0427357	-0.000720213	-0.000272571	0.000254746
7183.959	6551.3696	9281.246	1.04939485	51.86658096	1.02951384	0.073508165	0.0490030803	-0.058268972300000006	0.043450894000000004	0.022368866400000003	-0.009237326899999999	-0.0551515905	0.072735227	-0.0097006422	0.0965739576	0.0683546736	-0.014966653500000001	-0.0344042535	0.06584728320000001	0.0636276739	0.059983580099999996	0.054996585199999996	0.048778337000000005	0.0414680485	0.0	0.0	-0.0181576	0.0793103	0.0224237	-0.00115093	-8.56777e-05	0.000243967
7220.2427	6559.9194	9280.266	1.0695554	52.86302567	1.03701603	0.106747565	0.0376576212	-0.012784375	0.10416111480000001	-0.0005851736	0.0495487149	0.0042122051	0.0766360651	0.06843706599999999	0.007774785	0.044211369199999996	-0.0612917947	-0.0697345674	0.0657764733	0.0633477554	0.059366101	0.0539291182	0.0471700916	0.0392547153	0.0	0.0	-0.0205561	0.0303482	0.0222749	-0.00033676	-0.000366841	0.000253397
7183.3013	6562.598000000001	9281.723	1.04102278	51.45278931	1.01884937	0.014815450000000003	0.051768081900000006	0.0392689604	0.0354653174	-0.0946206308	0.0538733539	0.057243027	-0.0203955343	0.0554032575	-0.0477745415	0.0899952482	0.026469656400000003	0.0544247065	0.0657024717	0.0630555419	0.0587226973	0.052819785099999995	0.0455046313	0.0369728211	0.0	0.0	-0.0205552	0.0367018	0.0222549	-0.000202919	-0.000387522	0.0002391
7172.755	6565.476	9278.9375	1.02506757	50.66419983	1.00848448	0.01955141	0.050706025	0.0442221601	-0.033561753199999995	-0.0307199804	0.0678313206	-0.030461047400000003	-0.050972082099999996	-0.0037364389000000002	-0.0107272742	0.023454673199999998	0.0461152462	0.034314851800000004	0.0656252821	0.0627510901	0.05805365	0.051669447199999996	0.0437839762	0.0346263512	0.0	0.0	-0.0205956	0.0413345	0.0222466	-0.000224757	-0.00037528	-2.42202e-05
7201.6123	6563.793000000001	9277.321	1.04358101	51.57923508	1.02317846	0.06873436	0.062426659599999997	0.0331062431	-0.0535400304	0.0669475492	0.0148926138	-0.022977041	-0.061590088700000004	-0.0533756224	0.0498769249	0.0029412894	-0.024924246400000002	0.07371380179999999	0.0655449082	0.062434459000000005	0.0573592513	0.0504789975	0.0420102133	0.032219404	0.0	0.0	-0.0165288	0.0718147	0.0223235	-0.000593131	-0.000272571	0.000186906
