CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	NonSteadyStateOutlier03	X	Y	Z	RotX	RotY	RotZ
6507.7974	6452.7554	9751.798	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.0084393	-0.0582152	-0.0261873	0.000416398	-9.5401e-05	-5.10243e-05
6370.419	6457.568	9692.11	1.0609647	55.29850006	1.05171454	0.212159865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.011444	0.0402799	0.0121254	-0.00022508	0.000321472	0.0
6361.064	6436.523	9659.731	1.04780471	54.61259079	1.03534484	0.047554325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0049947	0.0205294	0.00463595	-0.00023523	5.43205e-05	0.0
6292.2783	6442.1387	9634.423	1.05098498	54.77834702	1.03365684	0.189139775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0129359	-0.07511099999999998	-0.0122693	0.000551157	-0.000332563	0.0
6308.4863	6444.7285	9630.76	1.05168295	54.81472778	1.03397667	0.295530365	-0.031631622000000005	0.0612953424	-0.06978305580000001	0.030571383799999997	-0.0051376127	0.0529237321	-0.047011198600000005	0.11533938960000001	-0.0005953251999999999	0.0255593643	-0.051390869000000006	-0.028267547	0.06674045599999999	0.0667392307	0.0667371887	0.0667343298	0.0667306541	0.0667261618	0.0	0.0	0.0	0.0	0.0104496	0.0627558	0.0319418	-0.000614138	0.000215699	-8.77823e-05
6280.8833	6438.831	9620.881	1.01646566	52.97916794	1.00616276	0.05469072499999999	0.07834442280000001	0.024376463199999997	-0.0668999591	0.0147291596	-0.07179604980000001	-0.010916753500000001	-0.0826149127	-0.0481002106	0.0548965203	-0.0714287914	-0.0496775829	0.0863838634	0.0667371887	0.0667261618	0.066707785	0.0666820603	0.0666489906	0.0666085795	0.0	0.0	0.0	0.0	0.00709169	0.0254959	0.0319336	-0.0004671	0.000169225	0.0
6291.024	6445.09	9616.576	1.01578832	52.94386292	1.00668359	0.204084235	-0.021644176499999997	-0.08521647619999999	-0.1243980983	-0.053934442699999995	-0.054336854500000004	0.0176284114	0.052638435899999995	-0.1010624365	-0.0148250278	0.0398118805	-0.08829792269999999	-0.0097568109	0.0667306541	0.0667000264	0.0666489906	0.0665775623	0.0664857635	0.0663736221	0.0	0.0	0.0	0.0	-0.0143669	-0.0575886	0.0131228	0.000552219	-0.000338554	8.75089e-05
6277.472	6440.158	9607.76	1.04453623	54.44223022	1.03347671	0.2192862045	-0.0792518937	-0.026197145800000002	-0.1039150916	0.028442383199999997	-0.0333920479	-0.024844549	0.010147470799999999	0.0642546494	-0.0925820881	0.10484194029999999	-0.04819909519999999	0.0396598214	0.06672085280000001	0.0666608298	0.06656083139999999	0.0664209177	0.0662411725	0.0660217037	0.0	0.0	0.0	0.0	0.0096754	0.0543967	0.0478135	6.92381e-06	-0.0	0.0
6276.6675	6430.755	9605.324	1.04421914	54.42570114	1.02227712	0.0600703905	0.0030211429	0.0928388675	-0.0531512427	0.0457547591	-0.0743042258	-0.0603756527	-0.0708490492	0.0396945002	0.0335838565	-0.1112734376	0.0094535942	0.0522748614	0.066707785	0.0666085795	0.0664433463	0.0662122491	0.065915517	0.0655534443	0.0	0.0	0.0	0.0	0.0114163	0.08087859999999998	0.0461124	-0.00042458	0.000171426	0.0
6263.1733	6445.768	9606.552	1.04116535	54.26653671	1.02336514	0.25542114	0.034085093500000004	-0.0485746293	-0.0974508675	-0.07082951230000001	-0.0778021107	0.037583721	0.0351627361	-0.0915303558	0.0210582641	0.0049857596	-0.0494862791	-0.0173774771	0.0666914515	0.0665432858	0.06629658690000001	0.0659517199	0.0655091956	0.0649696691	0.0	0.0	0.0	0.0	-0.0105303	-0.0439931	0.0130434	0.000490116	-0.000372774	5.17808e-05
6237.9717	6439.3730000000005	9605.674	1.0086956	52.57418442	1.0029881	0.11965029999999997	-0.0797516759	-0.028981281499999997	-0.0644066046	-0.0412806057	-0.0128214341	-0.0269554958	0.0802428255	0.0215131213	-0.0392934238	0.0702143059	-0.04291478	0.0078405989	0.066671853	0.0664649616	0.06612061799999999	0.0656395343	0.0650227054	0.06427140690000001	0.0	0.0	0.0	0.0	0.0155628	-0.00924794	0.0318262	0.00057177	0.000136879	-0.000157497
6290.8867	6426.2544	9622.349	1.06304657	55.40700912	1.04582751	0.26227785	0.0001295608	0.0721341334	-0.0883148532	0.0184997999	0.0177567159	-0.0042661853	-0.0656990445	0.08780815230000001	0.0175222704	-0.011942622	-0.0154709245	0.0331537007	0.0666489906	0.0663736221	0.065915517	0.0652759366	0.06445664179999999	0.0634598881	0.0	0.0	0.0	0.0	0.0137139	0.122122	0.0763712	-0.000785649	-3.84852e-05	0.0
