CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	NonSteadyStateOutlier03	NonSteadyStateOutlier04	NonSteadyStateOutlier05	NonSteadyStateOutlier06	NonSteadyStateOutlier07	NonSteadyStateOutlier08	X	Y	Z	RotX	RotY	RotZ
7267.743	6149.2344	8873.0	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98678e-05	-0.037541	-0.00997523	-0.000288489	0.000851325	-0.000261974
7143.743	6149.645	8830.003	1.07355273	53.41735077	1.04770482	0.040039697815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56985e-07	-0.0443104	-0.000703588	-5.82351e-05	0.000734582	-0.00012938
7101.5806	6152.4375	8818.263	1.06345546	52.91493607	1.03370738	0.176168994985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0227347	0.0368838	0.00232028	-0.000493886	-8.469649999999998e-05	0.0
7069.3657	6161.655	8815.963	1.06028211	52.7570343	1.03449881	0.113920465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-0.0219125	-0.0158243	0.00233332	0.000417486	-0.000224855	-0.000156012
7028.2519999999995	6160.838000000001	8806.47	1.03617334	51.55744171	1.01803017	0.04759569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.021855	-0.00207544	0.0172088	0.000662612	-0.000357195	-0.000156823
7034.9893	6153.238	8803.364	1.05349231	52.41919327	1.02677071	0.06093345800000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.0188324	-0.000508452	-0.00199757	0.000348743	-0.000379253	0.00025
7031.9130000000005	6163.4375	8802.882	1.03611064	51.5543251	1.01820147	0.075833298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.00512177	-0.0193893	0.0120484	0.000662612	-0.000224855	0.00013435
7019.267	6160.9487	8804.325	1.04134846	51.81494141	1.02508652	0.12471168000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.00511122	0.0223739	-0.00486548	-0.000414566	-0.000167343	0.000320141
7018.025	6165.3687	8798.844000000001	1.03650236	51.57381439	1.02377534	0.11295533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.00533908	-0.0372867	-0.00965605	0.000234516	-0.000285833	0.000122187
7018.4927	6158.6846	8790.034	1.0259105	51.04679108	1.01317096	0.12732563	0.0467572971	-0.0296278559	0.007791053199999999	-0.0494773838	0.0269262786	0.0329904115	0.056022406799999994	-0.0423700529	-0.0338945063	-0.0180551859	0.0200117837	-0.0193920104	0.0671151855	0.0671139255	0.0671118254	0.0671088854	0.0671051054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.008083609999999998	0.0173389	-0.0048633	-0.000708568	-0.000393148	0.000375043
