CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	NonSteadyStateOutlier03	X	Y	Z	RotX	RotY	RotZ
6685.7085	6167.5396	9702.769	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.00210109	-0.0690917	-0.0414509	-8.7744e-05	-7.784709999999998e-05	0.0
6597.6006	6156.5509999999995	9636.445	1.06725001	54.14527512	1.06571746	0.08924433500000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.00242938	-0.0417549	-0.0315853	0.000595645	0.000214496	-5.85408e-05
6581.8696	6156.7519999999995	9606.716	1.09766364	55.68826675	1.07268238	0.19312494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.00638252	0.0370254	0.0220373	-0.000354261	4.93621e-05	-7.88789e-05
6558.255999999999	6156.4277	9578.3955	1.08626938	55.11019516	1.06201136	0.06906652500000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.00342423	0.0602159	0.0492452	-0.000354261	-4.89865e-05	0.0
6498.661	6150.7983	9541.27	1.0231092	51.9058609	1.02315068	0.06641981000000001	-0.0050959331	0.0100144966	-0.0598330258	0.0014511524	0.054543797699999994	-0.043320350300000005	-0.0063594637	-0.0032990847999999997	0.054646214900000004	-0.0206317373	-0.0765942763	0.0863326904	0.06674045599999999	0.0667392307	0.0667371887	0.0667343298	0.0667306541	0.0667261618	0.0	0.0	0.0	0.0	-0.00459063	0.036862	0.0342503	9.34673e-05	4.13774e-05	0.0
6515.3423	6153.013000000001	9533.778	1.00726402	51.10198212	1.00324976	0.040952325	0.0001574955	0.022098779	-0.0231106598	0.0192653926	0.0657040525	-0.08586927220000001	0.0099385295	-0.0122089524	-0.0078908426	-0.011093266200000002	-0.1080763225	0.0607079729	0.0667371887	0.0667261618	0.066707785	0.0666820603	0.0666489906	0.0666085795	0.0	0.0	0.0	0.0	-0.0208322	0.0390754	0.0342273	0.000237386	-0.000264191	1.3234899999999996e-23
6493.3276	6153.1140000000005	9529.583	0.99317956	50.38742828	0.99607575	0.0942208	-0.0185830916	0.0410186134	0.0201879079	0.0318917625	0.0321526113	-0.0650735589	0.0025528182999999998	0.0286346141	-0.0389544135	0.028261370299999998	-0.003147022	-0.0176080519	0.0667306541	0.0667000264	0.0666489906	0.0665775623	0.0664857635	0.0663736221	0.0	0.0	0.0	0.0	-0.0208111	0.0754438	0.0523446	-0.000264412	-0.000114286	0.000142577
6502.313	6141.493	9532.825	1.03376043	52.44623566	1.0213443	0.050528685	-0.0076693476	0.0368739952	0.0459324308	0.032331422	0.020282178	-0.09059710509999999	0.0293479245	0.0183059354	-0.027908829700000002	0.025824603300000002	-0.045773307199999995	0.0939538681	0.06672085280000001	0.0666608298	0.06656083139999999	0.0664209177	0.0662411725	0.0660217037	0.0	0.0	0.0	0.0	-0.0208187	0.0568811	0.0500497	-6.30953e-05	-0.000363662	0.0
6497.5547	6147.4980000000005	9535.267	0.99882221	50.67369843	0.99324685	0.056179765	-0.0015505393	0.0208345	0.0614123259	0.0158025933	0.010761896399999998	-0.079079389	0.018253242	0.0274863331	0.0227300984	0.0934356226	-0.0738598173	0.0029993862	0.066707785	0.0666085795	0.0664433463	0.0662122491	0.065915517	0.0655534443	0.0	0.0	0.0	0.0	-0.0208229	0.0429821	0.0379636	0.000456637	-0.000279585	0.0
6488.854	6146.1143	9544.609	0.98441058	49.94254684	0.9920944	0.0901586	-0.0104065415	0.0360484291	0.0521581803	-0.0127948602	0.0072191797	-0.08137087309999999	0.007421334200000001	0.0252332586	-0.0254687362	0.0398483408	-0.048709830700000005	0.0427902696	0.0666914515	0.0665432858	0.06629658690000001	0.0659517199	0.0655091956	0.0649696691	0.0	0.0	0.0	0.0	-0.0134018	0.0692574	0.0514596	-8.28974e-05	4.02046e-05	0.0
6499.076999999999	6145.467	9551.924	1.02829349	52.16888046	1.02053511	0.02614091	-0.0057232589	0.0342902519	0.0403749189	-0.0139186817	-0.0040913397	-0.072341056	0.0064510264000000005	0.0409654311	0.020762794299999998	0.0043437703	-0.014025705500000001	0.0880912792	0.066671853	0.0664649616	0.06612061799999999	0.0656395343	0.0650227054	0.06427140690000001	0.0	0.0	0.0	0.0	-0.012201	0.0632431	0.0477151	-0.000154093	-0.000192226	0.0
6505.271	6153.5874	9549.530999999999	1.01496649	51.49275208	1.00819933	0.120714905	0.0006924938	0.0564631354	-0.005477478	-0.056670664	0.040307852799999995	-0.058911510300000004	-0.0059390719	0.0340537905	0.0193070745	-0.0640522212	-0.10347533240000001	0.0441811379	0.0666489906	0.0663736221	0.065915517	0.0652759366	0.06445664179999999	0.0634598881	0.0	0.0	0.0	0.0	-0.0273929	0.0300398	0.0215873	0.000416732	-0.000446011	-9.922810000000003e-05
6489.616	6146.3286	9546.13	0.98919475	50.18526459	0.99370492	0.072240905	-0.0166868361	0.049274157699999994	0.0074069912	-0.0253896359	0.0164657211	-0.0623535654	0.0035701396999999998	0.038301359300000004	0.0160021304	0.0104268637	-0.0604052325	0.1072024733	0.0666228653	0.0662692852	0.0656813745	0.06486121190000001	0.0638116976	0.06253654269999999	0.0	0.0	0.0	0.0	-0.0208213	0.0535494	0.0433852	0.000208528	-0.000346207	0.0
6488.124	6149.1216	9546.709	1.00031936	50.74965668	1.00196815	0.0618828755	-0.0038094659000000005	0.0564800269	0.0103425904	-0.0271513066	0.018698317199999998	-0.044544215199999994	0.0055304696	0.0524975253	-0.0170974324	-0.0291964374	0.018439279	0.0662168575	0.0665934784	0.0661519714	0.0654182934	0.0643956847	0.063088662	0.0615029978	0.0	0.0	0.0	0.0	-0.013708	0.07778269999999998	0.0563466	8.08249e-06	-0.000195155	0.0
6501.1875	6145.8345	9544.507	0.99421954	50.44018936	0.9944638	0.0848194255	-0.0004325882	0.050889170899999996	-0.0329323604	-0.0671977926	0.0375983991	-0.0164143282	0.005507523100000001	0.053927307599999995	0.0664611676	-0.0516665095	-0.0753654222	0.0449085086	0.06656083139999999	0.0660217037	0.0651263897	0.0638797199	0.0622884198	0.0603610746	0.0	0.0	0.0	0.0	-0.0208282	0.0461713	0.0417762	0.000574808	-0.000258778	0.0
6502.7466	6150.0107	9539.468	0.95282429	48.340065	0.96802914	0.06560310500000001	0.0119505525	0.056884318499999996	-0.027540147799999998	-0.0344448557	0.0604489358	-0.035353614	-0.0072684783	0.066083686	0.046909682599999995	0.0104636406	-0.0055800739	0.0449103349	0.0665249258	0.06587850740000001	0.0648057921	0.0633137214	0.0614119504	0.0591127855	0.0	0.0	0.0	0.0	-0.0147001	0.0724254	0.0576431	0.00051895	-4.89865e-05	-8.14306e-05
