trial,onset,duration,gain,loss,RT,participant_response,ID,run,risk,use,accept,group,gender,age
52,367.724,4,22,11,1.452,weakly_accept,1,1,12.298373876248844,True,1,equalIndifference,M,24.0
53,373.525,4,24,9,0.937,strongly_accept,1,1,12.816005617976296,True,1,equalIndifference,M,24.0
54,378.526,4,16,13,1.56,weakly_accept,1,1,10.307764064044152,True,1,equalIndifference,M,24.0
55,384.62699999999995,4,22,19,1.351,weakly_accept,1,1,14.534441853748634,True,1,equalIndifference,M,24.0
56,390.12800000000004,4,22,8,1.663,strongly_accept,1,1,11.704699910719626,True,1,equalIndifference,M,24.0
57,395.129,4,10,20,1.765,strongly_reject,1,1,11.180339887498949,True,0,equalIndifference,M,24.0
58,400.73,4,20,5,1.8730000000000002,strongly_accept,1,1,10.307764064044152,True,1,equalIndifference,M,24.0
59,410.33099999999996,4,30,10,1.141,strongly_accept,1,1,15.811388300841896,True,1,equalIndifference,M,24.0
60,416.033,4,18,14,1.764,weakly_accept,1,1,11.40175425099138,True,1,equalIndifference,M,24.0
61,421.73400000000004,4,34,8,1.666,strongly_accept,1,1,17.46424919657298,True,1,equalIndifference,M,24.0
62,427.535,4,30,17,1.249,strongly_accept,1,1,17.240939649566666,True,1,equalIndifference,M,24.0
63,435.63599999999997,4,10,18,1.247,strongly_reject,1,1,10.295630140987,True,0,equalIndifference,M,24.0
64,441.024,4,38,20,1.663,weakly_accept,1,1,21.470910553583888,True,1,equalIndifference,M,24.0
1,4.044,4,40,17,1.1440000000000001,strongly_accept,1,2,21.73131381210073,True,1,equalIndifference,M,24.0
2,10.236,4,18,10,1.247,weakly_accept,1,2,10.295630140987,True,1,equalIndifference,M,24.0
3,16.727999999999998,4,34,12,1.56,strongly_accept,1,2,18.027756377319946,True,1,equalIndifference,M,24.0
4,24.529,4,14,10,1.561,weakly_accept,1,2,8.602325267042627,True,1,equalIndifference,M,24.0
5,30.331,4,30,16,1.77,weakly_accept,1,2,17.0,True,1,equalIndifference,M,24.0
6,39.232,4,36,14,1.3519999999999999,strongly_accept,1,2,19.313207915827967,True,1,equalIndifference,M,24.0
7,47.034,4,30,11,1.249,strongly_accept,1,2,15.976545308670458,True,1,equalIndifference,M,24.0
8,54.537,4,30,20,1.3530000000000002,weakly_accept,1,2,18.027756377319946,True,1,equalIndifference,M,24.0
9,59.637,4,20,18,1.767,weakly_accept,1,2,13.45362404707371,True,1,equalIndifference,M,24.0
10,65.22,4,32,11,1.56,strongly_accept,1,2,16.91892431568863,True,1,equalIndifference,M,24.0
11,71.821,4,26,11,1.247,strongly_accept,1,2,14.115594213493104,True,1,equalIndifference,M,24.0
12,77.02199999999999,4,22,18,1.5590000000000002,weakly_accept,1,2,14.212670403551895,True,1,equalIndifference,M,24.0
13,86.323,4,18,11,1.145,weakly_accept,1,2,10.547511554864494,True,1,equalIndifference,M,24.0
14,95.225,4,36,11,1.247,strongly_accept,1,2,18.82153022471871,True,1,equalIndifference,M,24.0
15,100.926,4,38,13,1.351,strongly_accept,1,2,20.081085628023203,True,1,equalIndifference,M,24.0
16,109.728,4,12,6,1.561,weakly_accept,1,2,6.708203932499369,True,1,equalIndifference,M,24.0
17,115.228,4,16,20,2.079,strongly_reject,1,2,12.806248474865697,True,0,equalIndifference,M,24.0
18,122.63,4,10,16,2.0780000000000003,strongly_reject,1,2,9.433981132056603,True,0,equalIndifference,M,24.0
19,128.33100000000002,4,40,10,1.1420000000000001,strongly_accept,1,2,20.615528128088304,True,1,equalIndifference,M,24.0
20,133.832,4,12,8,1.871,weakly_reject,1,2,7.211102550927978,True,0,equalIndifference,M,24.0
21,139.533,4,30,18,1.766,weakly_accept,1,2,17.4928556845359,True,1,equalIndifference,M,24.0
22,146.234,4,34,15,1.765,weakly_accept,1,2,18.580904176062045,True,1,equalIndifference,M,24.0
23,155.339,4,20,16,1.456,weakly_accept,1,2,12.806248474865697,True,1,equalIndifference,M,24.0
24,164.922,4,32,7,1.248,strongly_accept,1,2,16.3783393541592,True,1,equalIndifference,M,24.0
25,172.822,4,16,9,1.456,weakly_accept,1,2,9.17877987534291,True,1,equalIndifference,M,24.0
26,179.424,4,30,12,1.3519999999999999,strongly_accept,1,2,16.15549442140351,True,1,equalIndifference,M,24.0
27,184.424,4,36,19,1.1420000000000001,strongly_accept,1,2,20.35313243704762,True,1,equalIndifference,M,24.0
28,192.025,4,12,18,1.767,strongly_reject,1,2,10.816653826391969,True,0,equalIndifference,M,24.0
29,198.12599999999998,4,26,5,1.1420000000000001,strongly_accept,1,2,13.238202294873727,True,1,equalIndifference,M,24.0
30,203.22799999999998,4,40,15,1.248,strongly_accept,1,2,21.360009363293827,True,1,equalIndifference,M,24.0
31,209.429,4,12,15,1.973,weakly_reject,1,2,9.604686356149273,True,0,equalIndifference,M,24.0
